# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 07 01:51:10 BST 2021 [seed=1617756669817]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/feb_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-23295.820652605995	-752.9831524074298	-22542.837500198566	4.628657923345326	2005.5220270081616	44.21672174786044	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-22542.837500198566	0.0	-695.7566741303863
100000	-16916.7528637669	-1214.8363300012409	-15701.916533765656	1.0200669245133045	2009.1306180069937	57.24095006341119	9.717508906172064	3.732242111898717	0.28950517524472985	7.859230868485639	0.36484146355183616	0.19647971344876425	0.2017271452038895	0.23695167779551	0.2525770809110147	0.027842333425168786	0.02784233342516883	-15701.916533765656	0.0	-1199.7992097229674
200000	-16064.55880960219	-1261.8949871355844	-14802.663822466606	0.9671139641735224	2009.1835709673335	62.46078708773365	10.454101284773504	7.690065304328876	0.4479244500544475	8.834854291175198	0.3535599190701198	0.20252913402854336	0.19256868939733612	0.25134225750400063	0.25024955493410656	0.020693229028281957	0.020693229028281947	-14802.663822466606	0.0	-1246.5820769163245
300000	-15697.539372091984	-1364.3948745586463	-14333.144497533338	0.9793315916755965	2009.1713533398313	70.9369365220304	11.74392433377716	10.186197924353094	0.5032835531842376	9.465003832769149	0.3810002780979303	0.19845259367508533	0.1882496847531093	0.23229744347387565	0.2618676978601243	0.01616135245585334	0.016161352455853317	-14333.144497533338	0.0	-1348.9709947583253
400000	-15337.890500525305	-1401.53654201252	-13936.353958512786	1.0508854814700763	2009.099799450037	73.14396687274069	14.48797396341883	9.132211324089404	0.45891332811724006	8.26562900224975	0.36482546977531	0.20088922154611108	0.19919605495152515	0.2350892537270544	0.2719604934167119	0.013898052995694877	0.01389805299569486	-13936.353958512786	0.0	-1386.3613905913417
500000	-15058.380718833232	-1439.491518442572	-13618.88920039066	1.1105893036332493	2009.0400956278736	74.80977660111849	14.524092737889198	8.006804297106221	0.44223909864131683	8.174308311434286	0.35127641475460747	0.20426946519690176	0.2061305842835991	0.2383235357648923	0.28547016748905246	0.011280251897428768	0.01128025189742878	-13618.88920039066	0.0	-1424.6413300110485
600000	-14741.950696750593	-1497.2707695944289	-13244.679927156165	1.0524498247683518	2009.0982351067387	77.21022509677334	21.046284819831943	8.602565357001764	0.4242619895426399	7.912873137348373	0.3743779184551074	0.18882668722808973	0.20412453634782451	0.23267085796897852	0.34258189571854597	0.011799033774116964	0.011799033774116952	-13244.679927156165	0.0	-1481.7796159709403
700000	-14623.316186205295	-1553.0740677937529	-13070.242118411541	1.068375107823749	2009.082309823683	84.76792525695294	19.872788111451552	10.098348034867067	0.4750293657211943	9.234484429736547	0.38671418690194564	0.19629530304893192	0.19250636483580175	0.22448414521332113	0.3162612572429832	0.010381472264229684	0.010381472264229684	-13070.242118411541	0.0	-1537.4679239172622
800000	-14373.030932513124	-1600.4774732160286	-12772.553459297094	1.118153687126882	2009.0325312443802	88.11533989483928	25.604113395285832	10.036897745850375	0.46063728867638826	8.029008716746038	0.3797732893915159	0.18526581461239242	0.1888971420952426	0.24606375390084956	0.32813484327540116	0.008839995840365626	0.008839995840365626	-12772.553459297094	0.0	-1584.9354079862626
900000	-14200.061097040625	-1580.3483153390177	-12619.712781701608	1.0703804653251425	2009.0803044661818	88.72408577344537	23.580386615755476	10.182108911675822	0.4620164159390392	7.894900425197559	0.3711211471050232	0.19154202791368918	0.20059245109582127	0.23674437388546696	0.28710916939003533	0.009078024341896624	0.009078024341896626	-12619.712781701608	0.0	-1565.0036035211547
