# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 02:39:58 BST 2021 [seed=1620265198182]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/augLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-9525.789935083829	-334.64271754067886	-9191.14721754315	2.279404153084193	2007.5205958469157	21.63250360770153	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	0.001000000000000001	6.510659007432267E-16	0.9983221476510067	-9191.14721754315	0.0	-329.0957318018068
100000	-6000.797640320088	-589.3473021013592	-5411.450338218729	1.4036504798773088	2008.3963495201226	31.978632305414337	6.3828774494008345	3.5174164725265755	0.33551902756199403	7.1360444178579066	0.34450585270915335	0.1725033483382762	0.22740823327885956	0.2555825656737114	0.04731739037157024	0.0019486760189620941	0.01188459399155033	0.006785918804121928	0.7171369885409048	1.6380057133183148E-14	-5411.450338218729	0.0	-580.8330539599599
200000	-5703.5193151641715	-525.5793737267085	-5177.939941437463	0.9053799057982308	2008.8946200942016	26.906617109329115	10.118290035758585	5.477075751308071	0.22460990581954282	8.184143387717405	0.35638489718290683	0.18045317746951797	0.218128374138725	0.24503355120885034	0.15450081961365608	0.0039670796175724585	0.01039025048904981	0.007567849468469641	0.4470822819328997	2.2328733402706126E-14	-5177.939941437463	0.0	-516.0140194025938
300000	-5481.014937323845	-427.335229106396	-5053.679708217449	0.7719164548945555	2009.0280835451053	21.96554423572897	5.035024990522221	9.175164894476346	0.34869770869275807	8.969430511759274	0.34499021435202354	0.18574950121765513	0.2301479681247185	0.2391123163056037	0.008697485607635187	0.0023407213170869336	0.009752245146412361	0.00663151170709831	0.612133812047321	-3.5079308418097004E-14	-5053.679708217449	0.0	-418.5056537072377
400000	-5458.694566402316	-472.4123632750153	-4986.282203127301	0.8760835836864953	2008.9239164163134	24.140633905507457	7.919375870350474	7.010491140035999	0.2445404093702264	7.983230343456948	0.38156103461038987	0.16786979112251044	0.21176178130513099	0.23880739296196937	0.1375276970308088	0.00319238143163496	0.010176638450336143	0.007198323873215745	0.5219434983663594	1.1165469555232812E-14	-4986.282203127301	0.0	-463.2150159133344
500000	-5361.877979481119	-435.87338793861977	-4926.004591542499	0.9058557529979867	2008.894144247002	22.88249366533787	6.181847636236782	6.676856440477478	0.27180705439639125	9.678806956086762	0.36021541627102405	0.18680665152770823	0.21899602612940203	0.2339819060718664	0.2568564716780766	0.0031106887050374064	0.01032175448351021	0.0070873465400163515	0.536322957480932	1.030794608362154E-14	-4926.004591542499	0.0	-426.27179459618173
600000	-5254.7779039384	-386.07508680838004	-4868.702817130021	0.8681175142103643	2008.9318824857896	20.868431985205802	10.056182133272523	6.187050964273712	0.1619550491849682	11.87204292913961	0.37018028222048477	0.17292520003654527	0.20819902439769464	0.2486954933452756	0.4489000916121899	0.004610230915532216	0.010674144537521486	0.008138044831412129	0.3965431283879041	2.9573122601592757E-16	-4868.702817130021	0.0	-375.29473056092394
700000	-5281.751164481291	-408.0874724132508	-4873.66369206804	0.8694846981293612	2008.9305153018706	21.830991576254803	126.38753934965764	7.195981668227657	0.02396195709589531	8.5187784881622	0.3583202409083873	0.1826103820849071	0.22476648790483233	0.23430288910187325	0.4033397842700812	0.004665148258135049	0.009004488660350281	0.0073202739943645035	0.3173707505407374	4.156321805234366E-14	-4873.66369206804	0.0	-395.89197660893603
800000	-5229.8082444309875	-354.6441813184658	-4875.164063112522	0.745158625460706	2009.0548413745391	19.28787585111736	40.71566256077295	5.131195228415985	0.032542886200136185	11.650391280823273	0.3653230060447657	0.18063288296848906	0.20185157372578186	0.25219253726096325	0.55778968712933	0.004895777672269558	0.011512650804117907	0.008585754718717507	0.4030523703994905	-3.993232507278426E-14	-4875.164063112522	0.0	-343.0520359506225
900000	-5223.322800594253	-393.8786183117127	-4829.44418228254	0.8158102293070362	2008.9841897706929	20.958936456387292	20.511058190325336	4.988112911218971	0.06882618476636733	10.496488127071467	0.3740650272371416	0.17581684526294414	0.21133360428787948	0.23878452321203433	0.2411581727511889	0.004524485329153813	0.010471700079137976	0.00788732974755702	0.3963858726525728	1.1597774471699374E-14	-4829.44418228254	0.0	-383.63373653668646
1000000	-5212.070429455184	-361.926770746015	-4850.143658709169	0.8398697460545939	2008.9601302539454	19.937760487419556	35.792002022662324	3.6070488019659894	0.03026947187289492	10.696139364220612	0.3599136930267732	0.19585652682532406	0.2182002837638151	0.22602949638408765	0.40547178205838585	0.0048944625471401045	0.011657484363107398	0.008651600901905789	0.40837545188375524	3.890806625975653E-14	-4850.143658709169	0.0	-351.1170893417213
1100000	-5149.710516973025	-313.88963604641117	-4835.820880926613	0.7114937317752551	2009.0885062682246	18.02303137567588	20.193251563418613	5.707828270405132	0.056805705527293	11.546476371081486	0.3522522633568668	0.1969626411464903	0.23025261597794738	0.22053247951869556	0.402446028572225	0.004294138991903643	0.013390324325999035	0.009552756812050357	0.5139039457810912	-4.6208963446418093E-14	-4835.820880926613	0.0	-303.0973989122119
1200000	-5220.058097102128	-372.8995086162596	-4847.158588485869	0.8538244682697824	2008.9461755317302	20.635031663547842	40.728110846326146	5.0509386638659235	0.035603086085269006	8.920135061432104	0.343373115399176	0.1810786572004866	0.2171224643133919	0.2584257630869458	0.5404878980256005	0.0039507516817876885	0.011322798882493731	0.008012686051860613	0.4822903731560125	4.870766523602131E-15	-4847.158588485869	0.0	-361.9297713636437
1300000	-5264.133017659007	-422.37141705483157	-4841.761600604175	0.8861779451323846	2008.9138220548675	22.353640022159507	72.44359113565862	5.668593133813458	0.028030798156942704	13.261274302981676	0.37114695225726385	0.17714591424972542	0.2184859334619392	0.23322120003107208	0.752344110752184	0.003472182804367675	0.010748587366990754	0.007705724789747726	0.5112250788774259	-2.4306612981758614E-14	-4841.761600604175	0.0	-409.6230584963819
1400000	-5209.425024884513	-351.09548398929445	-4858.329540895218	0.8093512229784118	2008.9906487770215	19.486137046927876	22.625929941310876	6.096556057248784	0.07022077484307601	9.739898283394902	0.33609337984025256	0.17520040832593667	0.2508475127494114	0.2378586990844002	0.2674192986435466	0.005363019895465459	0.013414521319182847	0.009775237952514605	0.4285256180876784	-4.0887953258623705E-14	-4858.329540895218	0.0	-340.4224405703944
1500000	-5244.08399458696	-399.36483219755263	-4844.719162389408	0.7765633600227192	2009.0234366399773	20.999289364365872	3.6620024735835144	6.768189868941831	0.3434029523756078	7.876791134414087	0.3538887394835168	0.18664362426969033	0.22878117321100924	0.2306864630357847	0.369965783359638	0.004384564580528484	0.012851065667383383	0.009086937484370502	0.4908229816708817	-3.9959581955347457E-14	-4844.719162389408	0.0	-389.83756289100495
1600000	-5210.7208909520405	-399.77422578780454	-4810.946665164236	0.8986610670667712	2008.9013389329332	21.44094885299738	22.076997030094745	4.518531817755613	0.06111090639478197	10.479002014763097	0.35641948687602204	0.17254632172489826	0.21994599161626607	0.2510881997828147	0.4797325030496418	0.004117426805821779	0.010625527478448698	0.0075786876225433005	0.44115380514319374	1.0808306448658524E-14	-4810.946665164236	0.0	-389.1281465539759
1700000	-5209.339220328107	-401.7656456214522	-4807.573574706655	0.9869359061385012	2008.8130640938614	21.698066806595268	133.85787452156418	3.742731236407321	0.009618622122804581	11.293242889114307	0.3675275687844277	0.17310220717767325	0.2215557564760072	0.23781446756189314	0.2971972877106267	0.003444725037327275	0.009364063526704706	0.006777504535385206	0.4618015577215443	-4.2968110064573886E-14	-4807.573574706655	0.0	-390.24885168715866
1800000	-5296.91631305853	-457.616092014636	-4839.300221043894	0.8426775745307821	2008.957322425469	23.86511778486111	85.37312761540845	5.704294880116267	0.030478943718015895	12.674519118947714	0.35837043663801066	0.1754750650408387	0.22428536541300537	0.24186913290814613	0.5476846892535571	0.004667752376456513	0.009114083194831738	0.007363172945814521	0.3225428003490998	4.041960977507648E-14	-4839.300221043894	0.0	-444.9701117612014
1900000	-5234.633352714207	-424.24863596175635	-4810.384716752451	0.7454660455800183	2009.0545339544199	22.149526125946313	48.301620486912235	6.059492202614683	0.04833312571827398	11.14934677079339	0.3545729556085612	0.1929386164761443	0.20990278752253808	0.24258564039275746	0.39366582175269627	0.004711855127348484	0.009520786870865348	0.007442505597470976	0.33777973765771596	-8.107770103538027E-15	-4810.384716752451	0.0	-412.6281595617877
2000000	-5208.066034936769	-401.3503157167162	-4806.715719220053	0.8200301167847722	2008.9799698832153	21.173074959816724	8.320224695045537	4.95763006428656	0.16219034619227274	11.414217379334719	0.339127301226517	0.18675172913063356	0.228389571022725	0.24573139862012555	0.38000103044944644	0.0037176034629909536	0.010980585185751375	0.00778644816462667	0.4937362211381453	6.317824182311E-16	-4806.715719220053	0.0	-391.15721621364247
