# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sat May 08 01:05:42 BST 2021 [seed=1620432341679]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/febLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-26668.87362140886	-712.0951007280376	-25956.778520680822	2.6599094972752213	2007.4907754342316	41.396885446259034	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	0.0010000000000000007	2.6030729100395524E-14	0.9992401215805472	-25956.778520680822	0.0	-707.1575948924519
100000	-17370.50475384873	-1225.143771892333	-16145.360981956399	1.5679359262689434	2008.582749005238	57.24336284907586	2.2902167471524733	33.492842141586635	1.4089090957828039	6.895135602802257	0.37100130776750456	0.2035250617159517	0.19334929575074702	0.23212433476579686	0.23395600604192038	0.004239220918865986	0.06110101509580705	0.031893922459919136	0.8694228480378158	6.28713531217246E-14	-16145.360981956399	0.0	-1211.7665858628498
200000	-16500.874119655513	-1228.4641990768748	-15272.409920578639	1.2562003137032696	2008.8944846178038	57.75367892944408	5.2046508929871464	4.837393852459782	0.5328294710276466	7.682932829342142	0.3779544754315542	0.1953089013602802	0.19327850469324553	0.23345811851492063	0.2390831961163024	0.005202166641326612	0.047795822074766084	0.027242822179760543	0.8030091997248465	3.681189846881066E-14	-15272.409920578639	0.0	-1215.9980205313936
300000	-16063.022155669296	-1358.6011731189128	-14704.420982550382	1.2705419507377274	2008.8801429807693	67.11097561086373	12.9566549256397	5.695694050390162	0.37168344917172347	8.379950032501194	0.37019992883531505	0.19501647888610488	0.19520379254619916	0.23957979973238136	0.25276864948922334	0.0040679135892720975	0.03146586422825948	0.019872867294679086	0.7704299904358195	3.476405270484036E-14	-14704.420982550382	0.0	-1346.306128814009
400000	-15673.035187224308	-1359.2334545410256	-14313.801732683283	1.1296054119151895	2009.0210795195917	67.94859851035329	12.110053494833645	6.8030442034599785	0.42855230711835823	7.524468161309467	0.37612635363246927	0.20378339436532644	0.1991921515326906	0.220898100469514	0.27004640359050397	0.00437456786944873	0.025103224708147596	0.016559005242103703	0.7027119639862461	5.31186743533065E-14	-14313.801732683283	0.0	-1347.4961908466191
500000	-15433.470597311698	-1383.7960285489937	-14049.674568762704	1.0740879637938998	2009.076596967713	70.92013633277926	14.552923988216378	7.697848901743783	0.4206037354498566	7.815626312842357	0.36433762955659377	0.18185938373046007	0.20169021872468723	0.2521127679882593	0.2802977707732994	0.004254075071353911	0.021987660028786053	0.014911903762961316	0.6753411096501046	9.727054085483385E-15	-14049.674568762704	0.0	-1371.9931814845995
600000	-15176.140889961225	-1520.5598714071884	-13655.581018554038	1.1147596360236478	2009.0359252954834	79.20956908471581	16.380771387784158	7.433695641810099	0.4295008371440291	8.290951066486567	0.36887108800525376	0.1949117304952358	0.19486523296101452	0.24135194853849629	0.2882808623495003	0.003328994853065319	0.017688632424227954	0.011789848290592372	0.6827694620350697	2.4442384301689886E-14	-13655.581018554038	0.0	-1508.991220571022
700000	-14914.496999659268	-1529.3825205159658	-13385.114479143302	1.1861628912555446	2008.9645220402515	79.35535834418188	17.266299966334362	7.688591710896817	0.43564986604148154	9.043032302142333	0.36246251900060367	0.20728634996503095	0.19286445922762194	0.2373866718067441	0.28908973700142954	0.0044046823072045015	0.017516608810672147	0.012217019881967855	0.5978203421416779	-8.083623030933437E-14	-13385.114479143302	0.0	-1517.3595985623983
800000	-14665.742147535126	-1487.662395597864	-13178.07975193726	1.1220596353067398	2009.0286252962003	76.03820287898279	15.605203397257569	8.459609033367778	0.4732612882722784	9.365066407863265	0.3567769329992876	0.20273976982099678	0.2027097156636252	0.2377735815160913	0.2856545006998795	0.004156548936321212	0.016998003600865768	0.011686780675311955	0.6067011745413764	-6.04438897395449E-14	-13178.07975193726	0.0	-1475.7725288945767
900000	-14401.34503372088	-1460.7810853102615	-12940.563948410618	1.0972152286231596	2009.0534697028838	77.67687216744436	16.79971551494004	9.869920565078896	0.4747750388369988	8.558243265303007	0.3511430975841062	0.19840038297035723	0.1968542429358217	0.25360227650971595	0.3099588431384413	0.00472279754808266	0.015679226319967585	0.011384753144035316	0.5367923509131447	-6.19493479846694E-14	-12940.563948410618	0.0	-1448.899101736082
1000000	-14437.681322484528	-1645.7172390793398	-12791.964083405188	1.1612758835076715	2008.9894090479993	87.79948576131358	19.11248815526778	10.073081673295514	0.5149321817682763	8.741897834527604	0.3796815848604992	0.18137139610848546	0.19553187806376246	0.2434151409672538	0.38518394449253	0.004250531436146079	0.012896651095830932	0.009552238675988383	0.5040349106682029	-3.976293230074065E-14	-12791.964083405188	0.0	-1633.7269826922793
1100000	-14288.06977529178	-1642.216059269439	-12645.85371602234	1.1255778380222539	2009.0251070934846	88.52310533109312	20.067421977713696	10.247681889356413	0.515816128344402	8.284079198022528	0.3741142628694844	0.18807943084614037	0.19556051882956563	0.24224578745481024	0.3498589917238628	0.004062342624005346	0.01187700293706546	0.00877095797843371	0.490095771375126	3.5206472138721304E-14	-12645.85371602234	0.0	-1630.479793006983
1200000	-14061.224052393123	-1579.1019367469598	-12482.122115646163	1.1017841421080559	2009.0489007893989	83.93360291978894	16.626100738456874	9.738248366822974	0.5090591229323703	8.335515295455878	0.364231978846533	0.19062567385336515	0.21023165049362202	0.23491069680648036	0.33476804507347424	0.004582541437958048	0.012044477719730317	0.0090721840559324	0.44864806568949106	-4.079870346325003E-14	-12482.122115646163	0.0	-1567.576178644693
1300000	-14058.63940484866	-1620.0541837788226	-12438.585221069838	1.162939461106128	2008.9877454704008	86.49258484968065	18.37627687731821	9.90134192706503	0.5130408562137143	9.793343813056943	0.3637992098261489	0.18437589577784305	0.1957955120243588	0.25602938237164957	0.32607218272967115	0.004487723573523228	0.010610938935264278	0.00828934172673187	0.4054508291314746	-7.064985753908734E-14	-12438.585221069838	0.0	-1608.2981598989263
1400000	-13988.201451025032	-1730.1200772356572	-12258.081373789375	1.1430536276097436	2009.0076313038971	92.521051184876	21.940419381378923	8.483826665419645	0.5011529745140051	9.519180792650328	0.3389579241622623	0.19815137905872376	0.21756948125812164	0.24532121552089234	0.3739502651569896	0.004415795135196859	0.010741648872396987	0.008221878760799266	0.4172367373106781	-1.837491758505521E-14	-12258.081373789375	0.0	-1718.064315378649
1500000	-13825.886364828324	-1663.1225790277733	-12162.763785800551	1.088588248067948	2009.062096683439	90.28904682041022	23.122687807892298	9.972899556986384	0.49361684620240537	9.035397494632354	0.37238710140756964	0.1828212957758452	0.21439273186899893	0.23039887094758638	0.3217868857237152	0.004117964850385014	0.010849893181475799	0.008173350509337993	0.4496223041253869	4.1395944169410344E-14	-12162.763785800551	0.0	-1651.240724431365
1600000	-13826.580382467984	-1702.3581824789023	-12124.222199989083	1.1596356534605232	2008.9910492780464	93.06664316665265	27.977253697906033	8.606571589089778	0.4330339189709159	9.10462977430195	0.3745760810598241	0.18755746002994816	0.19607383703291167	0.241792621877316	0.41491312863000934	0.0047076135632705025	0.010482956777822012	0.008273407190227523	0.38011722795262387	-3.8289121367753834E-14	-12124.222199989083	0.0	-1690.0422660862994
1700000	-13681.21310311283	-1683.2236097893776	-11997.989493323452	1.1554691292164367	2008.9952158022904	90.89953576544055	18.91792857861225	10.25725154261673	0.534628716496412	8.139760733484604	0.36625975351421663	0.17789261434538317	0.19289221802801193	0.26295541411238815	0.3456621457548763	0.004567425078133774	0.009716238922100353	0.007717693202516487	0.3604079737877407	3.065452627025353E-14	-11997.989493323452	0.0	-1671.7588003346618
1800000	-13697.042090308467	-1719.7566265405528	-11977.285463767914	1.1457446068532544	2009.0049403246537	92.40388707691338	17.78711234387399	9.981505931007508	0.5525460410161204	10.530173235243225	0.38455345273011565	0.1907495958057484	0.19657103403324644	0.22812591743088959	0.3465822957096723	0.004265343541281508	0.009548645054135605	0.007467720784584203	0.3823830603092272	1.9850180851489255E-14	-11977.285463767914	0.0	-1707.9726463358284
1900000	-13566.609382694036	-1630.3214850235138	-11936.287897670521	1.0122724457944898	2009.1384124857125	86.18347081082244	19.244046078686367	9.198334385626234	0.48940479741444143	8.95096332564738	0.3691786876977777	0.19577865166497183	0.1971383040149005	0.23790435662235054	0.3585531161774216	0.005015297125857427	0.009877934550572467	0.00801458197007428	0.3264616292880543	-1.0212396746217962E-13	-11936.287897670521	0.0	-1618.6463600040988
2000000	-13379.939043283617	-1545.3637716695598	-11834.575271614058	1.1162176846188268	2009.0344672468882	80.92529138396878	17.60073073344704	9.465092794581118	0.48437543792123017	7.945070372000058	0.36156267166113987	0.18262436645255375	0.20400835919340643	0.25180460269290045	0.3837344822613063	0.005592913735245006	0.010735084909543093	0.008725173384810749	0.3148983579081818	-5.736116739905832E-14	-11834.575271614058	0.0	-1533.7866074923822
