# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 23:49:05 BST 2021 [seed=1620341344382]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/janLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-23060.374804277562	-686.4374661496183	-22373.937338127944	3.346124848558894	2006.736066932263	39.58316646065869	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.99999999999999E-4	1.7571410369024278E-14	0.9991638795986622	-22373.937338127944	0.0	-681.4587860432763
100000	-15045.734759683197	-1054.9266922855613	-13990.808067397636	1.241827335818157	2008.8403644450036	49.862622398513096	4.554399487680845	3.7659696032875836	0.48686874014682235	8.40098240207273	0.39630414999256014	0.18427791987755665	0.19324731441326903	0.22617061571661426	0.21736250276502284	0.004946369051576184	0.051598007062165364	0.030654787827893527	0.8242528100934768	-3.083969138478796E-14	-13990.808067397636	0.0	-1042.6878232511376
200000	-14430.540299995766	-1143.0815936685167	-13287.45870632725	1.272179840355551	2008.8100119404662	54.92092422933505	6.085871994512644	6.385908446278916	0.4956093906976571	7.959136662379301	0.38225831532909205	0.19199199576555806	0.19943113131674564	0.22631855758860414	0.24116792639964843	0.004323065232601738	0.033747709630202315	0.02062016302025529	0.7722185393653219	-4.055007228332203E-14	-13287.45870632725	0.0	-1131.610280530334
300000	-14137.055730990349	-1202.8715590451336	-12934.184171945215	1.2123584866118502	2008.86983329421	58.10940380310863	6.267096717916197	7.188321850622694	0.5317717721407474	7.593023081585492	0.37861166163764365	0.186706860230548	0.19482672521065228	0.23985475292115568	0.22661619193764268	0.0038595502063077966	0.027829897705903793	0.01713956356651867	0.7557746254836076	-3.698035204893926E-14	-12934.184171945215	0.0	-1191.8532971762609
400000	-13821.466741011598	-1258.8612419510107	-12562.605499060588	1.1094677725888147	2008.972724008233	62.2078157165936	9.258603581286913	7.639107229148382	0.46913785571032296	7.824800798591928	0.36767441882987373	0.18623167367956317	0.202855654329921	0.24323825316064177	0.2308039709435334	0.003988119112624804	0.021154464255421175	0.014013123637593954	0.6822663134380538	1.2147048423571191E-14	-12562.605499060588	0.0	-1247.8807453152963
500000	-13529.652162183147	-1273.8360460658403	-12255.816116117307	1.1173283044472342	2008.9648634763746	65.84849006984332	19.06111282032443	7.19245404999637	0.31626593272393183	7.29467246499129	0.38307898051999284	0.2017200490264437	0.19387334303633685	0.22132762741722706	0.22875517960151617	0.004027687837744892	0.017817232201668972	0.012487088076988624	0.6308451258595063	2.537256621551218E-14	-12255.816116117307	0.0	-1262.6291105482665
600000	-13203.472345867889	-1326.0388743149936	-11877.433471552895	1.0597007803003797	2009.0224910005215	68.532797917084	18.3950567199164	7.5526155723189525	0.3639237553670813	8.448325882982347	0.3686064699858645	0.1848210823638116	0.20915682095568403	0.23741562669464042	0.24291598065648726	0.004529112488300505	0.016088270812520386	0.011610787041239554	0.5603599600781624	-6.976958174491423E-14	-11877.433471552895	0.0	-1314.5238094513206
700000	-12993.014807318643	-1339.1739441791024	-11653.840863139541	1.1222805427320377	2008.9599112380897	69.26061868367998	15.95783829083173	7.940645185276392	0.3973494807865304	9.030347414499364	0.3799282735056712	0.18934808856741975	0.1945445259243569	0.2361791120025527	0.2666628058230417	0.004087174114190461	0.01557504711556837	0.011201435002779222	0.5839348216867253	4.3963162441874114E-14	-11653.840863139541	0.0	-1327.740102772351
800000	-12919.829124163716	-1367.528859565452	-11552.300264598265	1.0248162648565708	2009.0573755159653	72.24111823639815	15.392523481075663	10.676849322165017	0.46773221941934495	8.351536602533866	0.3713074587186905	0.19057923961230328	0.2028311962709794	0.23528210539802769	0.2840840887188677	0.004534082408932388	0.013527113004968018	0.010141705353287378	0.4977135333577167	8.41725571031605E-15	-11552.300264598265	0.0	-1356.1757202808658
900000	-12616.444245269944	-1336.460791711029	-11279.983453558914	1.028687724784315	2009.0535040560376	70.1110389471192	15.256273731816629	10.067222612738805	0.4556967170081557	8.110576599820464	0.37744598868068274	0.17996098858003826	0.19923151573527872	0.24336150700400094	0.2750466231449019	0.004406706798343741	0.012968748739478049	0.009549887210526492	0.49256636794552455	1.8433898629655536E-14	-11279.983453558914	0.0	-1325.3125917482084
1000000	-12494.519090111175	-1338.2360685070264	-11156.283021604148	0.9924620270937804	2009.089729753728	71.35516548998005	17.445284587836934	9.57351778840892	0.42173654174952235	7.3947152817928155	0.3662845662379483	0.19980661407055814	0.19688358816642082	0.2370252315250735	0.25335554430214485	0.004391648774737439	0.01156747908146535	0.008817382442369898	0.44948774417369775	2.672494186363402E-14	-11156.283021604148	0.0	-1327.329681658344
1100000	-12484.527524894456	-1456.0365063056083	-11028.491018588848	0.9945723478404705	2009.0876194329815	79.18975655618281	21.080857527374267	10.40939392133484	0.4539367882283344	9.945790017096503	0.36713389082551967	0.17794566973880438	0.19765600681279422	0.2572644326228829	0.28076721078015415	0.00427943214836491	0.01024388984295204	0.008178221452532866	0.4105708102755889	8.399612628752739E-16	-11028.491018588848	0.0	-1444.3638688121625
1200000	-12299.006040259814	-1412.6267370486717	-10886.379303211143	0.9893356981765512	2009.0928560826453	76.24737049128774	16.247544590390834	11.341704270430524	0.4852338822133428	7.848078254454435	0.37695122953651233	0.18327695185419923	0.2024153378375601	0.23735648077172966	0.28935606733150676	0.004238759571199768	0.011316982412808499	0.008762611582687187	0.454867017786857	8.893381042872598E-15	-10886.379303211143	0.0	-1401.542958185246
1300000	-12152.02895461105	-1397.2453306438892	-10754.783623967161	1.039552574738323	2009.0426392060835	75.16960417828147	17.579382934765835	11.317842847144226	0.4749453036335286	8.33011455390437	0.3600846726182245	0.19256039513530177	0.21192199266040126	0.23543293958607375	0.2927971655480028	0.004254394066806648	0.010163425745036724	0.007989290325959405	0.4097324927765821	2.314872012216021E-15	-10754.783623967161	0.0	-1386.100337836952
1400000	-12131.97494318409	-1421.6161349620727	-10710.358808222018	1.0684370338817093	2009.01375474694	76.6798579443272	17.862331331924533	11.62594596409872	0.48668944386250457	9.738904331357736	0.37688992423888995	0.17602530124777482	0.20798255526957363	0.23910221924376326	0.29993462567674867	0.0047932648581836415	0.009923622357876461	0.008044291273958493	0.34854569328439605	-6.131309653361044E-14	-10710.358808222018	0.0	-1410.0573628551776
1500000	-12029.186197504623	-1416.171959143533	-10613.01423836109	1.0563450064498163	2009.025846774372	75.41043333431587	17.71888510462411	10.144778785787055	0.46101959216573035	9.709898593624011	0.35804616089923635	0.18180159738775267	0.20234298548121682	0.2578092562317958	0.33960415958546786	0.004416399055000536	0.010483048037654676	0.008096423644207977	0.40706553202339224	-5.726806028193513E-14	-10613.01423836109	0.0	-1404.621827324403
1600000	-11902.820468810638	-1391.459387922405	-10511.361080888233	0.9952239708207044	2009.0869678100012	72.55435932461839	18.394400295206278	8.290637010685089	0.4105416661135267	8.505396205996977	0.37664941946095737	0.1961606690448405	0.1982958341377998	0.2288940773564041	0.31343331515907485	0.004152049242789457	0.01048794427735331	0.008004326391571318	0.4326474533251078	1.1722444140109183E-14	-10511.361080888233	0.0	-1380.3290579994584
1700000	-11836.821533071377	-1349.1350072005287	-10487.68652587085	1.0921849910016281	2008.9900067898202	70.69316211617117	16.464496755140637	9.379118253676625	0.43183259748661856	10.00602858454529	0.3674586564285642	0.18290134077004833	0.21095730983047753	0.23868269297091163	0.29277902855241855	0.005022474220996931	0.010799836430734601	0.008588310343501923	0.36506967564832793	3.161071538541355E-14	-10487.68652587085	0.0	-1337.6651641260285
1800000	-11776.792441538382	-1400.8977188752497	-10375.894722663134	0.9900682385300661	2009.0921235422918	75.3959918230408	16.994000124498097	12.152523744995953	0.4971192829734015	8.352401798931615	0.3569213038939645	0.17557566370339092	0.21007010153432998	0.257432930868316	0.3928816161123866	0.005109609544036929	0.008464672214084626	0.007269169780164652	0.24716407203510665	1.273460006247864E-13	-10375.894722663134	0.0	-1389.6067464913808
1900000	-11733.660987323114	-1413.1888459434197	-10320.472141379694	1.045245880425106	2009.0369459003969	75.27949127681532	26.924519888768632	8.963633564546216	0.38280236230342746	10.138730038958927	0.36112272088986114	0.18613740483034222	0.20350936523213764	0.24923050904766064	0.40804061236759526	0.004476328383190682	0.009875661082011551	0.007760927934458795	0.3761283191393578	4.690928931264506E-14	-10320.472141379694	0.0	-1401.0485889169465
2000000	-11733.48830998274	-1460.8851964213848	-10272.603113561356	0.9982708306078595	2009.083920950214	77.26362307322044	16.62423709267766	10.663854956612557	0.4929057007261156	10.238000619600076	0.3565060042704035	0.18598759878441903	0.2046264436607791	0.25287995328440016	0.4074730611356935	0.005357178376522073	0.00968419429863559	0.008048267423587045	0.28765586085198314	1.1134100238669092E-13	-10272.603113561356	0.0	-1449.0522059564307
2100000	-11677.335927415967	-1402.1684958264002	-10275.167431589567	1.0333821734728377	2009.048809607349	74.30881266005059	24.38447179713382	9.092040724112588	0.3878788303174287	10.109075310913909	0.3500778266613497	0.1963358026850493	0.22056820550888795	0.2330181651447146	0.41167554966534914	0.005505092550300388	0.009764852394588824	0.008126944171102763	0.278949869122618	-5.797484986633364E-14	-10275.167431589567	0.0	-1390.0015287184272
2200000	-11668.545409519407	-1409.7700035611063	-10258.7754059583	0.9546266263861383	2009.1275651544356	74.79768702222616	16.400205189793038	13.179277035073802	0.5261129524790382	8.605363257869032	0.367682230970831	0.19171504721707033	0.22455962617524144	0.2160430956368589	0.3919970542490361	0.004574389591423284	0.008953394979854657	0.007255268598209199	0.3236643724001883	5.811081966304899E-14	-10258.7754059583	0.0	-1398.4449145657093
2300000	-11675.876911203837	-1416.922295647575	-10258.954615556262	1.0300734360906896	2009.052118344731	75.82850097911817	16.014049758795476	12.933344616050656	0.5180270072327644	9.325269367590455	0.36083732612467045	0.18303578431752532	0.21805162197085795	0.23807526758694844	0.3600540760792643	0.004026660042201563	0.00863548237773444	0.006844281693328774	0.3639147689387189	6.517240649233329E-14	-10258.954615556262	0.0	-1405.7190610126088
2400000	-11603.41855893368	-1387.44114712187	-10215.97741181181	1.1024474065152283	2008.9797443743066	71.1803710244744	15.804512321704628	9.6282421739223	0.4700574712932492	10.015735082261086	0.3569002086965785	0.18727180612594055	0.200452742337424	0.25537524284005914	0.3704153763030549	0.004548714044565529	0.010517212765716696	0.008095017759004165	0.3960617001549841	4.0081737437015614E-14	-10215.97741181181	0.0	-1375.901912138267
2500000	-11600.605989903244	-1353.0087647756152	-10247.597225127629	1.0709466471355138	2009.0112451336863	69.39969509863141	13.124512340116707	10.41828948002391	0.5019077167570951	9.285199517248904	0.384286398317798	0.1709922853519703	0.20870539618669626	0.23601592014353742	0.4141287634635557	0.004424047633506505	0.010762197639119071	0.008129563932935312	0.41724422760478963	5.953513356112358E-14	-10247.597225127629	0.0	-1341.7045828906369
2600000	-11476.170981828978	-1281.6713711178386	-10194.49961071114	1.0022980639484058	2009.0798937168734	67.07541109526737	15.353530734844172	9.510614458118583	0.4222707403461011	9.525501777850662	0.37616315876795897	0.1848500270020112	0.19965470130667642	0.23933211292335532	0.3857342868799252	0.0046178728780794055	0.009206617156084975	0.007439336794183572	0.3318828970179888	6.843649946496804E-14	-10194.49961071114	0.0	-1270.4873908727118
2700000	-11563.009971239237	-1335.6102760406093	-10227.399695198628	1.0508841908864686	2009.0313075899353	67.71054972556355	14.537069813411334	8.49710673324635	0.4174008844866936	8.513062500250777	0.357009985589529	0.1821377241844627	0.2139141304678634	0.24693815975814637	0.36145135237460596	0.004926379638033953	0.01046072100883902	0.008297816573830155	0.35960786435912395	4.461727089274471E-14	-10227.399695198628	0.0	-1324.5716753416277
2800000	-11655.083696548056	-1453.5056935093914	-10201.578003038665	1.026394692751494	2009.0557970880704	74.13754266196862	14.475344144801927	8.112186089444936	0.47204558581458766	10.067953269130351	0.3782518356520323	0.17860233907141115	0.20140641077522853	0.24173941450132966	0.4259868851719618	0.004523591211427147	0.008968830934266854	0.00717016893067164	0.3294178963354805	1.7540816878600455E-14	-10201.578003038665	0.0	-1442.1774589460063
2900000	-11586.746638572666	-1435.3839364737012	-10151.362702098964	1.0786272238740762	2009.0035645569478	73.45425498508895	13.777420245836495	8.627787232035267	0.4883225492147889	8.004178188898962	0.37675355445751396	0.17501636416506303	0.20982224324624182	0.23840783813118294	0.44157788538436094	0.0041231188095827076	0.00892593000379637	0.007068988961440015	0.36798542255014033	6.091075862210834E-14	-10151.362702098964	0.0	-1424.5413102407963
3000000	-11571.794290370688	-1422.40220265097	-10149.392087719718	1.0587596961817332	2009.02343208464	73.97867049043002	17.20304664643872	8.404002292412915	0.4415892213815001	9.194288779770607	0.3540567771836317	0.17343580377417647	0.215373471590144	0.2571339474520494	0.44178597439532125	0.004730903208019755	0.009345282394816898	0.007642194796509897	0.3277716690246494	-2.569923615326204E-14	-10149.392087719718	0.0	-1410.9356186723178
3100000	-11493.133328813006	-1406.7658480718076	-10086.367480741199	1.0623672884064508	2009.0198244924154	73.11485609428374	15.718590695037921	9.428390382465958	0.469266835305756	8.47386259802882	0.3588487889139591	0.1919725660618223	0.21360197214685572	0.23557667287736428	0.40803595528109526	0.005450506763968721	0.009352325817852596	0.007878439836598635	0.2635797004589093	8.065794905882714E-14	-10086.367480741199	0.0	-1395.4458266253935
3200000	-11556.634122578258	-1474.539838568476	-10082.094284009781	1.0573110681801456	2009.0248807126418	77.2513901293834	17.119347659155917	9.462822699359453	0.46441144756040303	8.099563348441565	0.36847012348619784	0.18143878917469874	0.211543901087178	0.23854718625192664	0.4802890432962036	0.0046308415461559374	0.008944217638141487	0.0073112837694099715	0.31770643475397947	2.5515707907259358E-14	-10082.094284009781	0.0	-1463.231473765893
3300000	-11493.019565609133	-1390.2293075123278	-10102.790258096806	1.039400372297617	2009.0427914085242	73.8444886916569	17.628771125230664	9.911599866160003	0.4465274163264092	8.989615664743711	0.3741577103045114	0.19754430930285183	0.19843386796512727	0.22986411242751142	0.3951535553110759	0.0050684520028735965	0.008854203821908846	0.007440037009151437	0.27190280004366746	9.319265039387621E-14	-10102.790258096806	0.0	-1378.837849377842
3400000	-11604.234179688254	-1461.2732284847452	-10142.96095120351	1.0696393281333672	2009.0125524526884	75.65371786380183	16.224003820721602	9.350888079131964	0.48352689349936123	9.242289732759478	0.378333632761484	0.18981513821854062	0.19750475168941858	0.23434647733055886	0.4182686052723834	0.004347702115932242	0.009465407676078091	0.00756720523878964	0.37042135991058645	8.731536516956155E-14	-10142.96095120351	0.0	-1449.8840113814983
3500000	-11517.198324866384	-1433.0426471300639	-10084.15567773632	1.0429314544922177	2009.0392603263297	74.06515934930559	13.04223781114014	9.743402426835859	0.4987095667744891	9.338062900004735	0.377324911567201	0.17127910099795005	0.21834854645614515	0.23304744097870597	0.42039609565166824	0.004596237530014879	0.010499243123526182	0.00818956620322757	0.39095209969237865	6.488562466550216E-14	-10084.15567773632	0.0	-1421.7318878626859
3600000	-11527.951808598897	-1406.3972334805358	-10121.554575118362	0.9858105719824182	2009.0963812088394	72.2723265047389	12.851651745963641	11.285985220188634	0.5233386339647625	10.070229133942743	0.3636772587268414	0.1884512249953409	0.2025565427959703	0.24531497348184964	0.3938028176436872	0.004650402077816533	0.009557373145995718	0.007681252316286785	0.3453168848040587	4.384374012231068E-14	-10121.554575118362	0.0	-1395.0674447605227
3700000	-11472.154280747269	-1428.858948410926	-10043.295332336344	1.027441866160906	2009.054749914661	72.78901849596491	14.460887299638195	8.702283318425488	0.4817722738241928	8.995662015451394	0.37902403495383785	0.16833104524045436	0.20847730812436974	0.24416761168134019	0.43797325110520174	0.004263562870898271	0.009695035117304946	0.007469481166009267	0.38902227182094673	-8.093724910007335E-15	-10043.295332336344	0.0	-1417.6413751356272
3800000	-11551.023278402095	-1469.0183407785014	-10082.004937623595	1.0871341834098658	2008.995057597412	76.39405397191382	15.693393034177374	10.133033187015545	0.5019645592087144	8.550544984996865	0.3783684956540397	0.17354276104273672	0.20407372920993025	0.24401501409329546	0.3787825113911648	0.003947802620004673	0.009919108601719934	0.007546695425966104	0.43048519628115495	-4.5194532510538376E-14	-10082.004937623595	0.0	-1457.8678609290507
3900000	-11570.609231511204	-1536.0750179920767	-10034.534213519128	1.1016815109827396	2008.9805102698392	81.5695155579951	22.387439452697663	8.656444513737537	0.43486659141911826	9.019667060751663	0.3723091497364556	0.17294745730102057	0.2255364189140274	0.22920697404849866	0.40079460615211	0.004157852578566161	0.009350317383932783	0.007330277469135323	0.38430776960864665	-2.1251189574736475E-14	-10034.534213519128	0.0	-1524.445095126576
4000000	-11616.438395823065	-1579.0776545908025	-10037.360741232262	1.1602981099344163	2008.9218936708874	83.74245614319022	20.63219427314805	9.525695491358299	0.49158352718709036	9.881812694159704	0.3737354669337338	0.18832138432537962	0.20102692896133761	0.23691621977955143	0.43102074132285356	0.004223132498414425	0.008266742498328494	0.006792273651102989	0.3237108320603631	3.291621406004246E-14	-10037.360741232262	0.0	-1567.3518906607615
4100000	-11521.512936550193	-1497.891222702819	-10023.621713847373	1.0697639946178334	2009.012427786204	78.41045406277082	18.822672445787248	10.438173856706173	0.48816426749865144	8.99176573248	0.37482947538591177	0.17781766860375237	0.2018179653162002	0.24553489069413778	0.4321703701229541	0.004280687504035103	0.008360183434257212	0.00676603021136628	0.3226831695387052	8.742897235256535E-14	-10023.621713847373	0.0	-1486.444342944784
4200000	-11537.135397481505	-1507.5566689460798	-10029.578728535425	1.0822831322106459	2008.9999086486112	78.6244748653216	22.534818726799692	7.979894389606336	0.4186622653588651	10.184112706315837	0.392363500579216	0.18851381149099164	0.1994149288401675	0.2197077590896269	0.3421068329056262	0.00459724766653685	0.008185189944854333	0.006842091238100138	0.2806784248226495	7.117755260272393E-14	-10029.578728535425	0.0	-1495.935851700062
4300000	-11459.063462177046	-1412.1942394856508	-10046.869222691395	1.025001511190766	2009.057190269631	72.97138576829312	17.050631772154635	8.047723474015584	0.4345084351736598	9.440957429645957	0.36130625247665826	0.1819140980421913	0.21648829863926283	0.2402913508418896	0.3885617140781722	0.004469289137498963	0.01014797068543332	0.007972232016312523	0.3884013216516641	-1.794780399378336E-14	-10046.869222691395	0.0	-1400.7676987106256
