# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 10:43:19 BST 2021 [seed=1620294199386]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/julLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-7742.0957736330265	-258.6232398635275	-7483.472533769499	2.4528432589207183	2007.3471567410793	19.940561897443313	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.999999999999992E-4	6.51202834640493E-16	0.9978991596638656	-7483.472533769499	0.0	-253.99949133247188
100000	-4873.443918708784	-425.1091407605118	-4448.334777948272	0.7879223255430265	2009.012077674457	22.9413287849586	2.533440717958572	36.660306982724265	0.6452409952213798	14.947628482068277	0.3539098406787791	0.18882107614578278	0.21717723999456728	0.2400918431808708	0.024471257529852478	0.003635743809653281	0.008545588710194622	0.006430653417690799	0.40280247480885245	-4.0871368849250625E-14	-4448.334777948272	0.0	-416.00069381406905
200000	-4588.485563333151	-318.8437863170524	-4269.641777016099	0.8070753838501763	2008.9929246161498	17.963571117938205	1.50267365675019	43.46617287568916	0.6999277755669668	8.165546335773032	0.3500368431721142	0.18732993531707182	0.21581159840382186	0.2468216231069921	0.00894239102054069	0.0035607177466637748	0.010634341710772032	0.007469016136660392	0.4977957072884755	1.5031983266458858E-14	-4269.641777016099	0.0	-310.72628616056926
300000	-4421.877994069903	-281.0685512421008	-4140.809442827803	0.8585791315157865	2008.941420868484	16.525728319336032	1.3358913120577809	28.273220647056256	0.7040937361146343	7.016651805208996	0.3768217231686343	0.16568553576579562	0.21855971133232985	0.23893302973324004	0.12490901125146332	0.0037653804322752057	0.010365341141921332	0.007133192593972088	0.4666379744280901	-3.434708188590099E-14	-4140.809442827803	0.0	-273.23197318150187
400000	-4447.159803574353	-319.6741072012998	-4127.485696373053	0.8108020339899181	2008.9891979660101	17.683120926275624	1.4644575192162714	63.812030660343616	0.745002015080432	13.003313119621314	0.3642676859668116	0.1886552878749148	0.216613964964828	0.230463061193445	0.1673321904827419	0.004081090385324148	0.009741538344197607	0.006965140991705953	0.4092301535214915	-3.813891950238947E-14	-4127.485696373053	0.0	-309.8890614579336
500000	-4352.616299682394	-240.75253358019606	-4111.8637661021985	0.8202246912854582	2008.9797753087146	14.540401077624717	1.1665056672540828	14.548476679522729	0.5800500664636191	9.788638550107656	0.35267407840819176	0.1715563215412542	0.22732350821041367	0.24844609184013997	0.22057620619990803	0.00382523093417308	0.010530099656463765	0.007250386908073919	0.46663804931274255	-6.453801696530568E-15	-4111.8637661021985	0.0	-232.5334806901183
600000	-4313.622285473154	-219.66775240729206	-4093.9545330658616	1.2133108225095546	2008.5866891774904	14.922165943675724	1.8494042606768695	4.366698906664097	0.43729525382206064	9.29483636439568	0.3595361196089554	0.16069760886061493	0.23092889100444342	0.24883738052598586	0.6209103460249442	0.0040902734055304766	0.012385059705740283	0.00817953020687664	0.5029305892602464	-1.0126729141885236E-14	-4093.9545330658616	0.0	-210.92439346842914
700000	-4346.649153542298	-235.74408571836005	-4110.905067823938	0.7801359022192011	2009.0198640977808	14.57496175245184	1.0914170342948937	40.97868935239982	0.654169737399841	8.372204509081332	0.35071059485885064	0.19937512736351426	0.21931722106663906	0.2305970567109958	0.20486037971708634	0.004636601040599191	0.010880244827104322	0.007874336311563439	0.40211943983411186	1.3246948022826619E-14	-4110.905067823938	0.0	-227.06475441185182
800000	-4302.223060094379	-198.53626681674288	-4103.686793277637	0.8876504444158912	2008.9123495555841	13.722815617953927	0.8961004032057104	8.097386254923261	0.6474841944695714	6.615602468355562	0.3438726140799509	0.18073239095814006	0.22607456716361657	0.24932042779829258	0.18179372930960627	0.0045686136585251814	0.012948271100252696	0.00873556911307116	0.4779164134926945	-5.963326276250618E-15	-4103.686793277637	0.0	-190.80196163590253
900000	-4243.362424670805	-141.5407189902926	-4101.821705680512	0.7150795781119343	2009.084920421888	11.125218766640335	1.527192746344367	12.77564056590187	0.4435263414928379	8.320604353758327	0.3611027472059685	0.18018758539235497	0.22483252927495864	0.2338771381267182	0.23086789150779127	0.005879300763509183	0.014249116457267473	0.01035367667644317	0.4155299018359516	1.8377704856633788E-14	-4101.821705680512	0.0	-133.16519805053747
1000000	-4222.3453372516615	-112.74670885040986	-4109.5986284012515	0.6863987197225471	2009.1136012802774	10.521858996384555	0.7722523763950333	18.829108610999967	0.5256572977606982	9.627260967235163	0.35982875048728613	0.17705168095243934	0.2140354784719079	0.2490840900883671	1.0686125970856473	0.005947007462145988	0.013102765108071329	0.009655329020098894	0.3754349878437622	-2.466201460569189E-14	-4109.5986284012515	0.0	-102.20791070815542
