# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 23:46:35 BST 2021 [seed=1620341194981]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/octLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-14233.25402415524	-475.5505633670018	-13757.703460788238	1.694362663956336	2008.1330345963177	28.24094634958613	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	0.0010000000000000002	6.509097904196238E-16	0.9988038277511965	-13757.703460788238	0.0	-470.2569366854012
100000	-9397.117571390354	-804.6605414887309	-8592.457029901623	1.0257336920690105	2008.801663568205	40.21023517692927	13.349097092467813	2.6575405948273927	0.11785721822238308	6.911228974157386	0.3699814505579743	0.18330393462961195	0.20688213234921504	0.23983248246319844	0.1840740818205272	0.0031754780891367477	0.02549900391648417	0.01540931893062125	0.7775334235851072	-4.197466799126801E-15	-8592.457029901623	0.0	-794.9074391164845
200000	-8884.55672563899	-784.0530997275329	-8100.503625911456	0.9152977344457873	2008.9120995258281	38.46016497559854	9.078389541517211	7.221588937350686	0.26340728843869804	6.672915732948701	0.35499965456515714	0.1886888029972463	0.21125709597105516	0.24505444646653987	0.1917352446508805	0.003407926725885058	0.02073490618763201	0.013180076784899434	0.7168848923780458	-3.842752825131782E-14	-8100.503625911456	0.0	-774.259545202896
300000	-8664.67914795077	-872.7448300525215	-7791.934317898249	0.991577240811395	2008.8358200194625	43.88403894374731	17.337132571845633	5.812804463166562	0.17708062109238826	9.64801267640131	0.3792175643643076	0.18757599310679848	0.20631891740366726	0.22688752512522473	0.2319436935991679	0.0027215174665114303	0.014091900298435694	0.009755552770188027	0.675579928136563	-2.022847427581543E-14	-7791.934317898249	0.0	-862.3915060609029
400000	-8407.658477534374	-801.6383923073979	-7606.020085226977	0.8303609078081289	2008.9970363524658	41.298741964126506	83.11831090011013	6.217626579033502	0.03470660395929073	7.4765645728138495	0.3465446945733255	0.18126414478710934	0.22654848083860718	0.2456426798009553	0.24523133487367446	0.004454374682056492	0.013242209800795449	0.01001735596490408	0.4962906396511267	-4.03682027741336E-14	-7606.020085226977	0.0	-790.4539862994095
500000	-8282.66446367589	-764.3505113621964	-7518.313952313694	0.9313020208439551	2008.89609523943	40.048870461759726	244.86756140645923	6.240736557192818	0.012292665208459385	7.243514774747664	0.3663622965591408	0.17523723150568357	0.2242543045946612	0.2341461673405115	0.2202413667654937	0.0039002993590400705	0.01296494366095314	0.00949971191878767	0.5371053396089922	-4.229344440163886E-14	-7518.313952313694	0.0	-752.2560621815533
600000	-8096.325216904659	-751.8359483756161	-7344.489268529043	0.9490177536890159	2008.878379506585	38.60716482450197	50.38753568724849	6.680574836593715	0.06052653393351045	7.644613016065746	0.3694783463508926	0.18224651887581356	0.21089907018201526	0.23737606459127605	0.24332056925796205	0.0041091690204625555	0.012894745140296473	0.009368174297549381	0.5163499933037667	-5.307792018016305E-14	-7344.489268529043	0.0	-741.0161257785032
700000	-7965.247916465187	-740.1726142962037	-7225.075302168983	0.8401448775537687	2008.9872523827203	37.67080511796145	26.68481178343949	5.929644216398852	0.08804651015378918	8.739079378774333	0.3741758137757219	0.18681844584947896	0.20455509654901197	0.23445064382578445	0.30782505745584765	0.003460666562050911	0.013147726701330176	0.008895953377242036	0.5827983138446018	-5.0657080587516116E-14	-7225.075302168983	0.0	-729.7603377114671
800000	-7884.008185035395	-718.8861182403764	-7165.122066795019	0.8994497370070635	2008.927947523267	37.51151891064	25.568760659419922	8.257577312306024	0.12412574709986676	7.891556726402874	0.3669192988025438	0.1764177621235952	0.219867142969948	0.23679579610391027	0.2634784695430256	0.004212694318638919	0.011975745698543667	0.009064755432367165	0.47927937524249625	4.734707854393572E-15	-7165.122066795019	0.0	-708.40047157362
900000	-7872.448036144297	-719.2147368116262	-7153.23329933267	0.8029808098440274	2009.02441645043	38.11718460663969	12.104987736060975	9.382283133070874	0.2231026457524191	8.804409236095903	0.35258340484904427	0.19506247230717627	0.20765998041929562	0.24469414242448118	0.3426550635307183	0.00486558512291602	0.011344679806483866	0.008988277125530589	0.3995472761910042	-3.977245490896932E-15	-7153.23329933267	0.0	-708.8429498890087
1000000	-7782.719554461094	-739.7743617410694	-7042.945192720024	0.8289313961090921	2008.998465864165	39.110967997970874	12.886416649718889	10.300859323760214	0.23860076366292432	8.984300314311568	0.3720596018794995	0.17285689736550008	0.2012250927170202	0.2538584080379774	0.2924603116060777	0.004327844878079168	0.010877877683291312	0.008357935499166497	0.43057439581835094	-3.8886721181744297E-14	-7042.945192720024	0.0	-729.4331805746082
1100000	-7803.755686472881	-774.5014264658641	-7029.254260007017	0.8887460976378814	2008.938651162636	40.03444870735979	15.343583289270603	9.116174014026278	0.21359754147599916	10.640795734619017	0.36776346741758137	0.1912841368332084	0.2140224964459667	0.22692989930324087	0.2836718759982537	0.003651406913417504	0.010103986674717121	0.007511226377924518	0.4688484212359118	-5.077977680275007E-14	-7029.254260007017	0.0	-763.9354424153621
1200000	-7754.048765642587	-774.927084959159	-6979.121680683428	0.9002883621518722	2008.927108898122	39.69787369358168	28.396329094141386	6.291266127643995	0.09664591843057402	9.850242029029307	0.36622130049906304	0.1689262485793678	0.22687894443051534	0.23797350649105067	0.27868066167033223	0.004054223138280412	0.010896190617139086	0.008226905980880085	0.4574164160272756	1.73431336200736E-14	-6979.121680683428	0.0	-764.2638314342466
1300000	-7688.945683298841	-766.2582963290888	-6922.687386969752	0.7661218957945581	2009.0612753644793	38.813819146734495	26.3667004056144	6.8893885717064896	0.11278421119159901	9.966821289610825	0.37281818493024876	0.17660564571877238	0.20902153295915504	0.2415546363918208	0.3382409495467926	0.004523163587920427	0.010018428686889421	0.007920014514287423	0.37778369555452523	-8.526684330899637E-14	-6922.687386969752	0.0	-755.4049519466136
1400000	-7734.292158808507	-781.4845345506407	-6952.807624257866	0.9005421060327782	2008.9268551542411	39.702644463320695	30.341163091805186	5.34363475739273	0.07605358018080915	10.600547488327235	0.3779724854976575	0.17920839515679715	0.20316095027284928	0.23965816907269313	0.3882974077126183	0.0029565496699525433	0.010809642963003654	0.007661726224071478	0.5700252247659757	-7.953421483923331E-15	-6952.807624257866	0.0	-770.818566983609
1500000	-7590.093889988532	-729.450343846095	-6860.643546142437	0.7972160105228906	2009.0301812497512	36.71927139846105	13.79919501155189	8.23004307393201	0.19139723818581247	10.5754688978454	0.34493443151348413	0.1894583237143043	0.21794030296997738	0.2476669418022312	0.4125493023736691	0.004020709902466538	0.010800534901630169	0.00808809698550697	0.4572123661554293	-2.8599169935123224E-14	-6860.643546142437	0.0	-718.7457473401198
1600000	-7628.681699773082	-786.2470077905094	-6842.434691982573	0.8423032233625372	2008.9850940369115	40.141666276383276	24.413259207752855	7.248619146215588	0.13088227882818285	7.931820689090934	0.3551702810625566	0.17537008465506362	0.2187786018917585	0.25068103239061834	0.31143058859082323	0.004664791872381439	0.009386676714602438	0.007685490738042595	0.3359723592434203	-1.0753747645006657E-13	-6842.434691982573	0.0	-775.8677073982128
1700000	-7597.105721797835	-751.3416358230788	-6845.764085974756	0.8268540444909699	2009.000543215783	38.521951579703135	39.33026281176135	6.846428781136435	0.07773605232911428	10.938149519157411	0.35908917152934844	0.20126017722947773	0.20882680666248238	0.23082384457868851	0.4104192066412481	0.004512852453906704	0.010540245772662254	0.008375488928856435	0.4002642973254109	-4.680499654540168E-16	-6845.764085974756	0.0	-739.8488095011984
1800000	-7611.837974054957	-761.1137733040323	-6850.724200750925	0.9226135481341241	2008.9047837121398	39.04417257810787	45.93371045630052	6.2707269541044655	0.06248383836417257	8.506978399137017	0.35239693764081703	0.1853658659500139	0.21064731498468897	0.2515898814244774	0.3015993296602619	0.0040073892084549635	0.009338144460496786	0.0072703938212009475	0.3992978917317356	-7.932218159028657E-14	-6850.724200750925	0.0	-750.4480068383884
1900000	-7606.015419090037	-774.9513652451034	-6831.064053844933	0.8611307681570308	2008.966266492117	40.108182890043935	13.785515579975774	10.362939933118334	0.23924844807067586	9.355701199400482	0.36661491613254665	0.1818519282448242	0.20648818935064836	0.24504496627197858	0.3543606851143368	0.004045244314763861	0.009862972247916461	0.007735760061552128	0.4181255051739829	-4.004407995375145E-14	-6831.064053844933	0.0	-764.4615672320273
2000000	-7520.180503919937	-668.7811481628427	-6851.399355757095	0.7980789449953865	2009.0293183152785	34.083285515343505	9.252989854678667	8.350927837545477	0.2247490927339055	9.393758443815846	0.38338785043026197	0.17310816440831894	0.21031942510395135	0.2331845600574656	0.4894499795420351	0.004605922819576545	0.012768630527533008	0.009261232087140425	0.46956093154661466	-4.950956248588022E-14	-6851.399355757095	0.0	-658.245988193588
2100000	-7481.232040430153	-659.7386296504131	-6821.49341077974	0.7259947546074863	2009.1014025056666	34.13222308444597	6.614546374673593	9.983766829074819	0.29348267225920693	8.311550077679893	0.35488706625455013	0.1744437499244096	0.21827018453062386	0.2523989992904142	0.37121290330070333	0.004741235397047407	0.011426435932198987	0.008759531421948633	0.4133297228907834	-4.3994636417749984E-14	-6821.49341077974	0.0	-649.8789430624078
2200000	-7516.92376324129	-674.9604319040072	-6841.963331337282	0.8594170682592278	2008.9679801920147	34.16659417575209	9.918272285133185	5.7113430237367515	0.16461986922732344	7.77845986021127	0.3909755738619624	0.1674654252776649	0.2070268032361024	0.23453219762426777	0.42789130032886974	0.004857805518426992	0.01196945252786189	0.009070199700912567	0.42245168637079267	-7.177628576721311E-14	-6841.963331337282	0.0	-665.1470121170458
2300000	-7527.417053626018	-712.9831877995929	-6814.433865826425	0.899751137045259	2008.9276461232287	35.76614948353812	13.144306369436162	6.009930767045235	0.14223469702924724	9.470271639589885	0.3567821972024535	0.18901591260795803	0.20461564916901948	0.24958624102056684	0.43839824615478223	0.005290143436875347	0.010309017071741762	0.008326868444161126	0.32168419342396026	2.2757005339246365E-14	-6814.433865826425	0.0	-702.6623433688785
