# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu May 06 02:42:51 BST 2021 [seed=1620265370532]
# -working /home/mahan/Downloads/alignment_lab/For_publication/flu/HA_monthly_2009-2011/sepLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-11844.466151393925	-396.06130721025716	-11448.404844183668	2.98047628763048	2006.8195237123696	28.39700542343434	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	0.0010000000000000007	6.509747865045439E-16	0.998603351955307	-11448.404844183668	0.0	-390.77287918425344
100000	-7722.951809323698	-718.320535892125	-7004.631273431573	1.2117683571497913	2008.5882316428501	36.91345940692909	11.187280604179472	2.169061350149212	0.1647239421503479	8.032515337622987	0.3504703128048751	0.18366923008766967	0.2301469560396754	0.23571350106777988	0.12258388809263847	0.0024690817508001344	0.01841787533514854	0.010613258838434104	0.7624842523199763	3.0966350688606264E-14	-7004.631273431573	0.0	-708.9413920656212
200000	-7279.328955213739	-689.3094258792589	-6590.0195293344805	0.9211036118284283	2008.8788963881716	34.64641502326904	21.04112657150492	4.672036869585864	0.11050857567644781	9.651250617732137	0.34986055526737325	0.18799440045920127	0.21164337874301098	0.2505016655304146	0.11010679253258038	0.0031390941328150765	0.012368870382827454	0.008558992266499638	0.5945904646828922	-3.028154467480742E-14	-6590.0195293344805	0.0	-679.3517020887213
300000	-6992.811498613184	-628.5795572203868	-6364.231941392797	0.7920175620420604	2009.007982437958	31.290561678683822	11.522791526450225	10.27354480029976	0.25894255938874317	11.808229107912078	0.3844750253535838	0.18495975712091217	0.20085307422370283	0.22971214330180104	0.14026568697582292	0.003976615360410832	0.010704685770815067	0.00798450243726649	0.45800783087454366	-4.34673325338772E-14	-6364.231941392797	0.0	-618.0713235794417
400000	-6802.9657952317975	-614.2331988593342	-6188.732596372463	0.764893524035519	2009.0351064759645	31.12880327402876	33.65593110735648	7.19059766386283	0.08209237078155883	9.382285453429889	0.3451401472331284	0.19685248651952875	0.2162349296816215	0.24177243656572114	0.23994636039781939	0.004676310790353075	0.010739586641155688	0.008522140967296832	0.39315511520728	-4.043162887436461E-14	-6188.732596372463	0.0	-603.4226081989884
500000	-6722.544614341419	-592.57893706708	-6129.965677274339	0.751537158282666	2009.0484628417173	30.965288811786575	367.45948319684703	8.174442200641257	0.011711099493571712	10.731189462631427	0.34579087820424215	0.18899225063570438	0.20293737842989426	0.26227949273015877	0.23942359819658668	0.00529760940399209	0.011757523321400653	0.00920297614698795	0.3786296512926095	-3.3839102892464584E-14	-6129.965677274339	0.0	-578.688839327729
600000	-6596.534328676192	-615.7203002811259	-5980.814028395066	0.7629096425224032	2009.0370903574776	31.896823957725847	44.74288127322866	7.694839376140895	0.07660111746284043	9.736419604805318	0.3585086715143707	0.19358287797636745	0.21437256469822968	0.23353588581103155	0.32875054703948137	0.0041410113318872295	0.010051528052971227	0.007968059199265964	0.416258195354798	6.311671807371834E-15	-5980.814028395066	0.0	-604.400814511765
700000	-6586.496138115659	-672.6587374450244	-5913.837400670634	0.8652596286707793	2008.934740371329	33.85675231078958	105.67697494615648	5.077854128493108	0.024020517195881098	11.394658126781508	0.3600330375575066	0.17806471875076788	0.22269545929504236	0.23920678439668241	0.29428834576677115	0.0034479279011062048	0.010809529151772052	0.0077770207187114054	0.5159492669910282	-5.728788377581885E-14	-5913.837400670634	0.0	-660.8305780110195
800000	-6494.268532929539	-590.913554096718	-5903.354978832821	0.8595606530566053	2008.9404393469433	30.394709588084446	33.35253987488674	7.427601944001948	0.09423023106535579	10.943504067902637	0.3530583126876496	0.18226087273483624	0.22813072148758978	0.23655009308992364	0.22501579334924215	0.0038890759436033223	0.011605329930467591	0.008468087080738668	0.4976574530610354	-2.5797518169952215E-14	-5903.354978832821	0.0	-579.7623549493954
900000	-6414.591000327527	-580.1645172132997	-5834.426483114227	0.8746415639662125	2008.9253584360338	29.70571269965966	17.07040603989871	5.455270117216333	0.11069167290678941	10.704281932713565	0.3730452145171713	0.1798470481478436	0.21401606496573836	0.23309167236924574	0.3176892338555348	0.004646587692735138	0.010317567812641875	0.008015594628074297	0.37883374682780213	-5.634116378526829E-14	-5834.426483114227	0.0	-569.7353261221448
1000000	-6439.846395818063	-603.3633698760628	-5836.483025942	0.7701550397484201	2009.0298449602515	30.334362227133493	23.386454163587864	6.156173394450129	0.09017351757410991	10.483546760480174	0.3690371058999979	0.17382895149147448	0.2224618570134609	0.23467208559506578	0.3227589115071364	0.004327827220939624	0.010192416562444009	0.007866567106226671	0.4037163450333782	2.3999899995982796E-14	-5836.483025942	0.0	-592.7556680771747
1100000	-6430.3189207719215	-631.820674139184	-5798.498246632737	0.8648874792381444	2008.9351125207618	31.736262544195917	39.893057848186714	4.150086884694025	0.043748788769611725	10.084886812487635	0.36529456763199303	0.18375775430792926	0.22212107242936158	0.22882660563071516	0.38225073888346556	0.003969643512797847	0.009592423804316928	0.007208771857571188	0.4144049325079534	-5.5298366475017535E-14	-5798.498246632737	0.0	-621.1801528297599
