# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 15 11:53:48 GMT 2021 [seed=1610711608846]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-105919.50998577176	-269.61594735303385	-105649.89403841873	1.7498589593933571	2018.5780098930657	19.53607590374011	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-105649.89403841873	0.0	-243.5777814432844
10000	-49438.65725586085	-306.2717154948869	-49132.38554036597	0.554734055190735	2019.7731347972683	16.26025742252634	5.957001468799993	6.478339249553307	6.062318094533545	0.29167296307006035	0.18300793121883957	0.19675888312520098	0.32856022258589906	0.049429359928313085	0.00200834513359513	0.0020083451335951327	-49132.38554036597	0.0	-300.56558244041935
20000	-48757.82768728123	-346.84318247177873	-48410.98450480945	0.5277491109232526	2019.8001197415358	18.046183735670958	9.425046895360875	7.692116361456378	6.43430965825253	0.29855364445117377	0.18425309072984727	0.1962422558298911	0.3209510089890878	0.015172846600502554	0.0016130265218439082	0.0016130265218439069	-48410.98450480945	0.0	-340.6923121861618
30000	-48343.39115298273	-335.7943493327187	-48007.59680365001	0.5163068240220765	2019.811562028437	17.866093782243563	16.55294040015658	10.536158296877446	6.094840737828064	0.2904452857464709	0.18146536532323293	0.1951006964658635	0.3329886524644327	0.009686902625582111	0.0014680313073732985	0.0014680313073732992	-48007.59680365001	0.0	-328.97621755558447
40000	-47891.93341453689	-338.1150449107276	-47553.81836962616	0.5817303919578818	2019.746138460501	18.36526551253415	20.986541537418642	11.448676324060326	6.467632322090537	0.29390782969983165	0.184750915022452	0.1918026382873299	0.3295386169903864	0.006197605872367263	0.0012845799830324492	0.0012845799830324494	-47553.81836962616	0.0	-330.9352121940568
50000	-47561.96417292745	-320.8344894638352	-47241.129683463616	0.4456712669202513	2019.8821975855387	17.312897806879025	18.54741637954611	11.844753190266239	5.607151900424105	0.2968734346508708	0.1830480981077201	0.18867214206326768	0.3314063251781414	0.034635006360145514	0.0013503506237437547	0.0013503506237437556	-47241.129683463616	0.0	-313.9397830942971
60000	-47416.82377422175	-340.5282066173696	-47076.295567604386	0.4431941957316132	2019.8846746567274	18.25843983269264	16.81727275196463	10.171040805937627	6.195346515068899	0.29485874425627867	0.18031941674249607	0.19444102597705976	0.3303808130241654	0.017252389939895578	0.0011996194975438987	0.0011996194975438974	-47076.295567604386	0.0	-333.76681726529387
70000	-47221.17742149222	-350.1801952619663	-46870.997226230254	0.5401797539468053	2019.7876890985121	18.65812685158012	23.30627163265718	11.604233744572781	5.569770023071368	0.294153762073097	0.17806225261285072	0.19755035841063476	0.33023362690341745	0.03259243189556545	0.0012256231929768473	0.0012256231929768432	-46870.997226230254	0.0	-343.0435774338313
80000	-47062.64396017878	-355.1229367224546	-46707.52102345633	0.5539569451810137	2019.773911907278	18.88289652644998	21.352753807456917	11.207750887415692	5.225994433668622	0.2980299361409673	0.18385580332727808	0.19233844048573903	0.3257758200460154	0.03280897082750138	0.001123760806936964	0.0011237608069369633	-46707.52102345633	0.0	-348.26613874188627
90000	-46971.78563932579	-364.3151273069347	-46607.47051201885	0.5238845824717063	2019.8039842699873	18.948128559490065	18.336002245062613	10.711158622119088	5.047740081850153	0.2947879941182517	0.18726800514665604	0.19077818660745519	0.3271658141276368	0.04444295688264555	0.0010513189932902605	0.00105131899329026	-46607.47051201885	0.0	-357.75310676893054
100000	-46780.22749577642	-357.3121349167722	-46422.915360859646	0.5641599790064064	2019.7637088734525	18.75451218981409	15.589754598677892	10.044334410660612	4.425264196961197	0.29706476674547005	0.18093309383579298	0.19067849462614522	0.3313236447925914	0.06440521365485548	0.0010156991774147774	0.0010156991774147748	-46422.915360859646	0.0	-351.1444215403888
110000	-46705.48541035355	-365.5873545683811	-46339.89805578517	0.5710327223819878	2019.756836130077	18.94437097469441	9.843091851193927	7.659130818584753	5.457666925641485	0.293853691449872	0.18162314501700616	0.19677512909715256	0.327748034435969	0.06585402399677268	0.0010869173130804493	0.0010869173130804504	-46339.89805578517	0.0	-359.7552472988937
120000	-46645.90389423742	-346.9340641343084	-46298.96983010311	0.5380589030880856	2019.789809949371	18.049973789684383	10.421807153913857	9.060015501729044	5.042811421476268	0.297417782161152	0.17874405225732096	0.19212316013104971	0.33171500545047705	0.07362843517788825	0.0010136930738480158	0.001013693073848015	-46298.96983010311	0.0	-341.12179209175156
130000	-46628.255286459134	-348.69221804240965	-46279.563068416726	0.501095634203177	2019.8267732182558	18.368714401326756	13.682866319442653	9.33518876939107	5.1203783391009	0.29524821532928436	0.18204039644946837	0.19617965109284516	0.32653173712840183	0.018563018086947165	0.0010108240214546827	0.0010108240214546822	-46279.563068416726	0.0	-342.60287219635586
140000	-46586.25527521715	-360.6533156608341	-46225.60195955631	0.5095765956843531	2019.8182922567746	18.736541926794693	9.325783448498969	7.963176550701128	4.727248850712866	0.2957732160765245	0.18158453868568836	0.19326780538870342	0.3293744398490835	0.007767876768389203	9.650815694033484E-4	9.650815694033473E-4	-46225.60195955631	0.0	-355.26293316536567
