# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 21 11:40:21 GMT 2021 [seed=1611229212717]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-134902.76099090275	-562.8934631958823	-134339.86752770687	3.9154454083584715	2016.7484890178712	35.09490075554195	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-134339.86752770687	0.0	-514.6732823134935
10000	-68460.41523517323	-930.2927356819387	-67530.12249949129	1.1945911330600656	2019.4693432931695	43.68860847513407	3.710784817179402	6.953735052479008	0.6122857787975923	4.702512216739958	0.28678823174459367	0.17977365369694168	0.18352181528543646	0.3499162992730281	0.05195573450491162	0.002432166174320354	0.0024321661743203515	-67530.12249949129	0.0	-919.3789017110032
20000	-66796.77884793778	-1036.3695704997403	-65760.40927743804	1.0770654339372188	2019.5868689922925	49.913436014645804	6.156096990153081	8.381926508175757	0.48389331666571006	5.271158161242471	0.2893444948814261	0.17408193162207347	0.18422687659413403	0.3523466969023662	0.007149706775228044	0.0019159111217297792	0.0019159111217297799	-65760.40927743804	0.0	-1025.2268353897484
30000	-65915.97142209423	-1085.1442661846613	-64830.82715590956	0.8625463800145062	2019.8013880462152	52.47870768364229	8.784997957084506	9.55217720712432	0.4449294274763689	5.194451203658402	0.2850036558933299	0.17490883009004174	0.18835523686553962	0.3517322771510885	0.009718321429383704	0.0017484109927670254	0.0017484109927670259	-64830.82715590956	0.0	-1073.7199952273554
40000	-65219.93057070818	-1104.7283431475546	-64115.20222756063	0.8339287428103723	2019.8300056834191	54.48355850966441	9.548960976498169	11.172171381155405	0.46164818800080687	5.069282302914986	0.28943434056059875	0.17703452582921814	0.18485731712066727	0.34867381648951584	0.028028984063252375	0.001623077307488968	0.0016230773074889663	-64115.20222756063	0.0	-1093.1992449640743
50000	-64733.94403314446	-1125.4767861368832	-63608.467247007575	0.8176237756013138	2019.8463106506283	56.80987683048613	12.32279050358679	12.21791122288461	0.4264332877117074	5.260139038985847	0.28853757704565486	0.1787616780389683	0.18899759908272468	0.3437031458326522	0.029013190461419588	0.0014968388319041887	0.0014968388319041926	-63608.467247007575	0.0	-1113.6839642295793
60000	-64168.2881666451	-1146.8389298061884	-63021.44923683891	0.9557666581056544	2019.708167768124	59.12863706541309	16.51168604998358	10.609659853663455	0.3815345232125829	5.1988874880512945	0.28919115362740644	0.17750814946577073	0.18649814725472966	0.34680254965209323	0.02611877876763149	0.001424340316750162	0.0014243403167501628	-63021.44923683891	0.0	-1134.8275364107333
70000	-63432.07531370915	-1169.7437866858618	-62262.33152702329	0.8694056006279882	2019.7945288256017	60.64793598372834	16.573307605688782	11.202580213897178	0.3846809350834276	4.934620225717148	0.29328056869785657	0.178024716733301	0.18385734128438372	0.3448373732844588	0.04137597226695041	0.0012948789696114434	0.001294878969611444	-62262.33152702329	0.0	-1157.8213018488411
80000	-63039.01011408507	-1164.8694539540797	-61874.140660130986	0.8389001122570091	2019.8250343139725	61.36234086254378	17.574823938447217	11.106913859349797	0.3798375015187901	5.221304621517096	0.2874706546342122	0.17811290168445	0.18608593451948802	0.34833050916184993	0.022684409516853077	0.001232552462386108	0.0012325524623861132	-61874.140660130986	0.0	-1152.8667270981261
90000	-62723.60458190934	-1176.9308960390913	-61546.67368587025	0.825138687237128	2019.8387957389925	62.55207612795428	16.908940207004125	11.725406176168512	0.3891806699598162	5.182143692096734	0.28248285684562807	0.1798162662426201	0.19097208360203052	0.34672879330972145	0.03195507505055788	0.0011532887369975888	0.0011532887369975879	-61546.67368587025	0.0	-1164.9926027048498
100000	-62480.12192213376	-1166.1658836449099	-61313.95603848885	0.8294672105956976	2019.8344672156338	62.5400536399927	22.091948547763828	11.89595860262641	0.36765853006612703	4.83642615071576	0.2875344293642617	0.1801223670117301	0.18695420631342696	0.34538899731058126	0.006232064993763077	0.0011387712399531429	0.001138771239953142	-61313.95603848885	0.0	-1154.03888746197
110000	-62288.78568070855	-1160.4049092599469	-61128.3807714486	0.8629396338044238	2019.8009947924252	62.839788679064625	22.1199108420237	10.393313877585463	0.3347628584085798	4.867187798200907	0.2885875265441954	0.17812386985661594	0.18849487245945654	0.3447937311397322	0.006354230049357097	0.0011286126647764329	0.001128612664776433	-61128.3807714486	0.0	-1148.3829157373386
120000	-62134.407062202015	-1171.1988185222212	-60963.208243679794	0.898253398580249	2019.7656810276494	64.22433090663358	35.83928167583364	11.425074464379996	0.29739483235592534	5.1854347335268836	0.28734311740002855	0.18083145559364933	0.18917681434087041	0.3426486126654518	0.045824618422413636	0.0011716957261281098	0.0011716957261281092	-60963.208243679794	0.0	-1158.3408515755298
130000	-61945.77169635941	-1162.5938848560909	-60783.177811503316	0.8590752345253039	2019.8048591917043	64.14527638498788	39.6081856232288	10.49110098887909	0.2792059807786665	4.915514660262637	0.28955420567056955	0.17933398125373898	0.19120611146490438	0.3399057016107871	0.03305883480603212	0.001075595222279181	0.0010755952222791828	-60783.177811503316	0.0	-1149.7912128546725
140000	-61597.30724580977	-1175.384437278256	-60421.92280853151	0.8938327619579469	2019.7701016642716	65.21089602263795	34.15027152307544	11.625535764952614	0.31533718108727726	4.995791169942176	0.28830720508198926	0.17638272482688225	0.19004607383578584	0.34526399625534276	0.02401069614231135	0.0010638206533174826	0.0010638206533174796	-60421.92280853151	0.0	-1162.702667899058
150000	-61445.018702299814	-1192.9600587316784	-60252.05864356813	0.8435447420461863	2019.8203896841835	65.53327589630602	31.019144857855267	10.913439769459801	0.3252348394312354	4.5616638397304206	0.2870331406197897	0.17549291362478317	0.191151877676352	0.34632206807907534	0.004951108462883918	0.00104170455983805	0.0010417045598380508	-60252.05864356813	0.0	-1180.5862479613293
160000	-61254.53136800354	-1192.2448471849095	-60062.28652081863	0.8385350288134843	2019.825399397416	65.84001914826501	33.81128169759392	11.237037053725592	0.31608446006668683	4.973994144965558	0.28846553154876414	0.18126349019308066	0.18812940404121511	0.3421415742169402	0.008856125477558595	0.0010436430619621228	0.0010436430619621226	-60062.28652081863	0.0	-1179.6322860462567
170000	-61068.50055697303	-1186.8066156785426	-59881.693941294485	0.9144860722072753	2019.7494483540224	66.7809185744732	36.80338866432361	11.843071902948884	0.31523584050194225	5.106352712273939	0.28777000588655977	0.18095041246352675	0.183386935514302	0.34789264613561155	0.036843699223107484	9.562823532985553E-4	9.562823532985536E-4	-59881.693941294485	0.0	-1174.0145915018395
180000	-60942.65394683808	-1174.486569046424	-59768.16737779166	0.9412057854322493	2019.7227286407974	65.43560652679122	42.364396941556834	10.75106559225737	0.2825423909037958	5.4090804970081345	0.2910125498144523	0.17801090206097722	0.18735051295872934	0.3436260351658412	0.046772897159100324	0.0010035510368602292	0.0010035510368602292	-59768.16737779166	0.0	-1161.4421647662036
190000	-60883.19131904365	-1172.305077890043	-59710.88624115361	0.9080881732443661	2019.7558462529853	64.80856092327384	35.33194420091182	10.666951907887166	0.2968714675089776	5.144600493962565	0.2897382590290687	0.18067188610933144	0.18553726440623805	0.3440525904553618	0.045836090981705664	0.0010395046776824084	0.0010395046776824081	-59710.88624115361	0.0	-1159.5632714956423
200000	-60754.472124365035	-1185.3793302659271	-59569.09279409911	0.8712907971813787	2019.7926436290481	65.95019615101644	28.88350132793609	12.122092649706042	0.35012342469079044	4.458307927634741	0.2918810809414682	0.18083123024847414	0.18686915677301424	0.3404185320370435	0.009787292984431838	9.946466093213823E-4	9.94646609321382E-4	-59569.09279409911	0.0	-1173.0834831791917
210000	-60659.477550245574	-1182.9522617659186	-59476.52528847966	0.9350432272591803	2019.7288911989704	66.1971923837845	28.152699226627703	11.932396632473818	0.33897114175103077	4.671929744090897	0.28904684423108495	0.17567861652464545	0.18910749586477077	0.3461670433794989	0.03300825303807229	9.809971882265972E-4	9.80997188226597E-4	-59476.52528847966	0.0	-1170.632017355421
220000	-60507.19217479951	-1176.0890010682751	-59331.10317373123	0.895969246754609	2019.767965179475	66.20902022402699	38.50784569415591	11.44122063626659	0.3031069698501131	5.088194696690087	0.29233751258327434	0.18043676772310283	0.18620954103922022	0.3410161786544027	0.007972587208423833	9.619747647449768E-4	9.61974764744976E-4	-59331.10317373123	0.0	-1163.3208252441311
230000	-60452.97703924422	-1165.7682284996872	-59287.20881074454	0.875959642528086	2019.7879747837014	65.76206087223352	31.96608682685126	12.279239406591008	0.3314724874612659	5.1919960708158746	0.28650436355002834	0.17907212066421324	0.1919949053584449	0.3424286104273138	0.004461313753648792	9.480637259471692E-4	9.480637259471687E-4	-59287.20881074454	0.0	-1153.1913516887728
240000	-60277.63996017736	-1197.3868347449081	-59080.25312543245	0.8316157664288565	2019.8323186598006	66.81116665680044	33.19384864099979	11.998208055740005	0.33068110378161775	4.612402301588831	0.2870822517762919	0.17732435175437722	0.19204598031689385	0.34354741615243733	0.009243010842810994	9.497185325652118E-4	9.497185325652112E-4	-59080.25312543245	0.0	-1184.91334975761
250000	-60204.964383936145	-1181.3755151599983	-59023.58886877615	0.8039679848758008	2019.859966441354	65.97775808225383	36.049701046267195	11.59527827116507	0.3108580110952792	4.683463565044872	0.29499261988993597	0.17844561358827352	0.1871075613284698	0.3394542051933211	0.009409082625839808	9.518086765221139E-4	9.518086765221164E-4	-59023.58886877615	0.0	-1168.805225977238
260000	-60107.124330389524	-1178.614184108655	-58928.51014628087	0.8169825160884323	2019.8469519101411	66.11831934573502	33.1020799735813	10.841633036025275	0.3043849069275589	4.445700323352587	0.2907141218808751	0.176862053313134	0.1899717122090569	0.3424521125969343	0.016034453466856956	9.116787452392788E-4	9.116787452392794E-4	-58928.51014628087	0.0	-1166.293220968215
270000	-60052.26294977652	-1177.3003057558458	-58874.96264402068	0.8697823386369852	2019.7941520875927	66.21666398230974	34.56110117826963	10.921278024331894	0.30745799949263786	5.025001071968388	0.2859586832834267	0.17729044146588716	0.1909913433544303	0.3457595318962562	0.05482275467139696	9.647354346962964E-4	9.647354346962987E-4	-58874.96264402068	0.0	-1164.6236158785614
280000	-60010.51473918382	-1205.3382071425663	-58805.17653204125	0.8712537804496058	2019.79268064578	67.41227390350724	49.91080423993409	10.978504797755823	0.28555045473283464	5.342336224841459	0.2914776151223313	0.18005651589979	0.18886739491863172	0.3395984740592474	0.047057669495338454	8.934875479295334E-4	8.934875479295333E-4	-58805.17653204125	0.0	-1192.0967725020064
290000	-59970.459168627436	-1195.5087781755012	-58774.95039045194	0.8974883490586133	2019.766446077171	67.01247581540947	53.005416991789254	10.570098088703759	0.26375971474369153	5.053512378164412	0.28889413159902594	0.18294627014879983	0.18899996136112138	0.3391596368910532	0.049741500433932044	8.915609706064237E-4	8.915609706064247E-4	-58774.95039045194	0.0	-1182.318222510821
300000	-59912.50935329084	-1194.0458445172867	-58718.46350877356	0.8979907593008559	2019.7659436669287	67.82010813790252	36.904626726236	11.250881581689328	0.3075212478186325	5.28074940157761	0.28997791850326776	0.17684324078057118	0.18931959560424552	0.3438592451119158	0.043444502349071816	8.740081557691975E-4	8.740081557691971E-4	-58718.46350877356	0.0	-1181.2765571574093
310000	-59894.246357765434	-1199.709090678824	-58694.53726708661	0.8713656318245304	2019.792568794405	67.54341598662776	35.8189407536799	11.55978425175362	0.3162075837597678	5.040830709078787	0.28808496037393777	0.17708823808473112	0.18724596152915565	0.3475808400121756	0.05285859926098233	9.123063238890593E-4	9.123063238890577E-4	-58694.53726708661	0.0	-1186.9790051504503
320000	-59887.30812250302	-1180.156647617458	-58707.15147488556	0.8767465539006041	2019.787187872329	66.95120392707597	34.602184888829136	12.003651471613072	0.32489076902909275	5.066840094607025	0.2875115340461629	0.1804581831649152	0.19030162181174579	0.3417286609771763	0.023056200534801393	8.668377889816381E-4	8.668377889816404E-4	-58707.15147488556	0.0	-1167.5288993225224
330000	-59784.50519881675	-1176.9433156536757	-58607.56188316307	0.9143033395860243	2019.7496310866436	66.39168286024365	45.48257231346297	11.7131040982729	0.29236023173395764	4.400552191593407	0.29053619468605274	0.17844767002250692	0.1868741573291849	0.3441419779622557	0.03724803539501355	9.299887850376737E-4	9.299887850376743E-4	-58607.56188316307	0.0	-1164.0866285942811
340000	-59775.77920391462	-1185.5623402267333	-58590.21686368789	0.8721662854941987	2019.7917681407355	66.31120877786572	38.692537872349014	11.908008831215097	0.31635502380427866	4.678392733227766	0.29352802648570675	0.1788376250375549	0.18846723927518622	0.3391671092015523	0.010456219534378967	9.284610655867396E-4	9.284610655867383E-4	-58590.21686368789	0.0	-1172.869848956293
350000	-59635.664537306766	-1172.0741447781759	-58463.59039252859	0.802578882183053	2019.8613555440465	65.1462728216265	34.52767407432005	11.113883590603422	0.3106608709768689	4.800133410850665	0.29475519018812363	0.17701635233427634	0.18657772821752625	0.3416507292600741	0.011594875081352863	9.179743201587125E-4	9.1797432015871E-4	-58463.59039252859	0.0	-1159.557097906365
360000	-59624.6651741701	-1176.2004239119517	-58448.46475025815	0.8089620880027641	2019.8549723382268	65.41680480373594	44.96766082195943	11.727698270813287	0.29034129923874574	4.845257408552093	0.29056315288920626	0.17826386620069049	0.18754856609778298	0.34362441481232064	0.0039121142606140125	8.833838134183832E-4	8.833838134183835E-4	-58448.46475025815	0.0	-1163.329924653763
370000	-59617.13008458356	-1178.5128095769821	-58438.617275006574	0.862586228107484	2019.8013481981222	65.98343527797024	48.833052800241894	10.638740502361564	0.2610369071886949	4.735859645015097	0.2884787758780628	0.1778256826830929	0.19400962171995104	0.33968591971889356	0.03978168328382929	9.13069644172246E-4	9.130696441722455E-4	-58438.617275006574	0.0	-1165.5630628288927
