# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 15 02:49:54 GMT 2021 [seed=1610678986232]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-96113.2301070898	-62.74197041392297	-96050.48813667588	6.173548722681636	2013.908418490433	18.14865534746724	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-96050.48813667588	0.0	-38.054391895316414
10000	-40985.303983885424	16.358926060100224	-41001.662909945524	0.2915848844990797	2019.7903823286156	1.949473134410763	0.5740314845586441	8.43713345688517	5.199802336204979	0.2999444055642334	0.1870769534550898	0.19305955770589434	0.3199190832747826	0.12000668574609083	0.0011121064438034225	0.0011121064438034233	-41001.662909945524	0.0	20.621350091956742
20000	-40963.4179461496	9.469920042743638	-40972.887866192345	0.2895147657151465	2019.7924524473995	2.0539512447554484	0.338398455454396	3.8918832534264878	4.537774454838597	0.2989540411149768	0.1838683046893565	0.19413936110333707	0.3230382930923298	0.11861383787146088	9.901622712274415E-4	9.901622712274415E-4	-40972.887866192345	0.0	13.124912700173446
30000	-40951.64564851137	5.934818436269824	-40957.580466947635	0.31141627019261553	2019.770550942922	2.2290804938894544	0.7134274627392763	6.356131343989649	3.1943723964628576	0.2972885460235232	0.1848443995391309	0.1959312774548369	0.32193577698250914	0.5579646395593427	0.0011356119451531575	0.0011356119451531568	-40957.580466947635	0.0	10.521420248357902
40000	-40955.94645603184	2.98219074344167	-40958.92864677528	0.31044575204535124	2019.7715214610694	2.2643696644249443	1.2662323800970845	10.502654764172831	5.946442583111157	0.29943835411857983	0.18083865977792538	0.1986524064969671	0.3210705796065279	0.4331939008351062	9.017425184781727E-4	9.017425184781718E-4	-40958.92864677528	0.0	8.469228545986034
50000	-40965.884978357964	-12.493181823416291	-40953.391796534546	0.25312440591766666	2019.8288428071971	3.2229305180742855	4.717116748992971	19.062594038481382	3.6398196700052106	0.30005537914526065	0.18429364559114475	0.19549777493233492	0.32015320033126005	0.6918497441312174	7.196081082576975E-4	7.196081082576973E-4	-40953.391796534546	0.0	-6.071759668455922
60000	-40981.456017685305	-27.185189020251848	-40954.27082866505	0.2740820477787597	2019.8078851653358	3.8778562103298406	19.681486895636997	25.80219873506875	4.018260797416351	0.30119971732893897	0.18548195781659405	0.1922288061532675	0.32108951870119984	1.3500102031272507	7.090022149546095E-4	7.090022149546098E-4	-40954.27082866505	0.0	-17.478618312855343
70000	-40980.998691261826	-21.065179782808624	-40959.933511479016	0.20678407542222396	2019.8751831376924	3.702450272961727	8.502630096732073	21.93404334337763	4.3226525531614355	0.30187465768846516	0.18240909367649122	0.19190830034957015	0.3238079482854738	1.7079811978684654	5.514804997277823E-4	5.514804997277826E-4	-40959.933511479016	0.0	-11.858183416107885
80000	-40955.84262035329	-7.061148521155291	-40948.78147183213	0.24073525545958396	2019.841231957655	2.851528707623399	9.59520023356823	30.68110566234711	3.0963805539440825	0.29507149857771875	0.18589858048002275	0.19312418922423757	0.3259057317180213	0.17000916411025643	8.161719963092499E-4	8.161719963092507E-4	-40948.78147183213	0.0	-0.7556463000582418
90000	-40952.09250194794	-2.166309664316309	-40949.92619228362	0.19988524243579867	2019.8820819706789	2.6167925738416047	4.538231819211885	25.042528907351684	5.093908560858001	0.29813732243029095	0.18474995303668823	0.19627905254149872	0.3208336719915224	0.1049385269456719	7.851667357408684E-4	7.851667357408682E-4	-40949.92619228362	0.0	3.6798497106225763
100000	-40968.20039487933	-15.144032455828878	-40953.0563624235	0.22630124320712325	2019.8556659699075	3.316850606439506	36.4337210798698	33.74760592285801	5.695624436773237	0.30152977317046475	0.1811841089420292	0.19719140835629423	0.3200947095312123	0.08214332245987727	7.31337707002325E-4	7.313377070023254E-4	-40953.0563624235	0.0	-6.357369803766351
110000	-40969.500243387425	-13.783030752266615	-40955.71721263516	0.1836305959426746	2019.898336617172	3.1460767585102674	210.07121997922988	50.47006457436498	2.7266471292349297	0.295283049782468	0.18766075877070376	0.19263892017155518	0.32441727127527337	1.227361946691132	8.364773034799221E-4	8.364773034799212E-4	-40955.71721263516	0.0	-0.08420597660194051
