# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 15 12:13:53 GMT 2021 [seed=1610712821042]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-110045.95074558035	-313.33885218722634	-109732.61189339313	1.6074866112928798	2018.8023494542808	21.04705998393689	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-109732.61189339313	0.0	-285.8269512370126
10000	-52786.61365463345	-425.01828572051477	-52361.59536891294	0.6622192514182457	2019.7476168141554	21.11767579130616	2.6522367125137913	2.244750608256539	5.763688112256242	0.29769555591201635	0.17726062205294157	0.18859893533560146	0.33644488669944067	0.014399324411079628	0.002064289504650104	0.002064289504650101	-52361.59536891294	0.0	-420.4922283557318
20000	-51735.1313434437	-463.5362870171972	-51271.59505642651	0.5669375773536757	2019.84289848822	22.376131082472547	5.764025910371309	4.780539547331269	5.660957285494064	0.29450815288975013	0.18056765259745022	0.19341453942285688	0.33150965508994285	0.050650502613039425	0.001653466431175502	0.001653466431175501	-51271.59505642651	0.0	-458.2386174624357
30000	-51240.495696808735	-468.2086668530659	-50772.28702995567	0.6335846011082811	2019.7762514644655	23.274629832646536	12.109283057043077	6.881374641599918	5.341403868546209	0.29631561260937866	0.18074916124744997	0.19052256486910646	0.332412661274065	0.013959079080785582	0.0015373389945913894	0.0015373389945913904	-50772.28702995567	0.0	-462.15427743805293
40000	-50748.49945584442	-483.05782972087934	-50265.441626123546	0.55510126890806	2019.8547347966658	23.46090493635855	11.079671330255335	6.596397360908371	5.757666097011504	0.2947454683283073	0.18019331549001083	0.1918680715073781	0.3331931446743038	0.010424250690680698	0.0013856974407875614	0.0013856974407875625	-50265.441626123546	0.0	-477.08431539091737
50000	-50420.67230618523	-470.7829034285185	-49949.889402756715	0.6031167142668843	2019.8067193513068	23.210151046110912	8.884312066034429	6.192887260747163	5.4799735919777275	0.29264845110889925	0.18522756195176815	0.19070950364620698	0.33141448329312545	0.0032258305948234724	0.001357382244901062	0.0013573822449010624	-49949.889402756715	0.0	-465.19847028126134
60000	-50198.49920169651	-485.80782611586557	-49712.691375580645	0.5057233997672986	2019.9041126658065	23.827432895738912	16.605452501040414	7.699962665736814	5.124250783991849	0.2931137291529114	0.18259956196420746	0.19347291778000547	0.3308137911028755	0.010378627749855991	0.0013333374735601665	0.0013333374735601687	-49712.691375580645	0.0	-479.45208377156166
70000	-49974.455106204645	-492.82381553142454	-49481.63129067322	0.5521254900804269	2019.8577105754932	24.389415103298894	20.701108960819486	8.665609549204989	6.031787311544397	0.2933055853630239	0.1810817671020171	0.1929404019805507	0.33267224555440833	0.03566355470393626	0.0012652835750091285	0.0012652835750091287	-49481.63129067322	0.0	-485.8826062742181
80000	-49814.090988909324	-498.35794640311104	-49315.73304250621	0.6181897196526844	2019.791646345921	24.863964971270455	15.751163254453289	7.829902838263797	5.088589551163868	0.29716176132165123	0.17872683479487153	0.1908624353653881	0.3332489685180892	0.02388191283499371	0.0012385641637747866	0.0012385641637747892	-49315.73304250621	0.0	-492.11919559500956
90000	-49679.25498896569	-507.509284330033	-49171.74570463566	0.5853932952115681	2019.824442770362	25.40314062090468	18.80206241146353	8.269173820055045	5.260253964000912	0.29357853695861336	0.18129706347578414	0.19232295392380488	0.33280144564179776	0.01743106894773708	0.0011692109931837925	0.001169210993183792	-49171.74570463566	0.0	-501.0140928732237
