# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jan 24 21:26:31 GMT 2021 [seed=1611523581189]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-93205.15552888723	-139.325721494675	-93065.82980739255	1.0176885745764312	2019.143513611216	11.693638133871342	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-93065.82980739255	0.0	-113.9572977851461
10000	-43733.68741555087	-84.31024078906157	-43649.37717476181	0.38540574513502507	2019.7757964406571	6.200545149668707	0.6913071092348619	17.224335946692307	7.288009607530468	3.923135192152248	0.28233114318402974	0.19349453299223646	0.21596946713803158	0.30820485668570224	0.07599054352516958	0.0017495473359292885	0.0017495473359292893	-43649.37717476181	0.0	-71.74099992242188
20000	-43369.49603309706	-123.92451643792586	-43245.57151665913	0.38718138934529517	2019.774020796447	7.079047675454973	0.8283657681643024	17.97085728041972	67.0505968418236	4.725632488782281	0.29404369545430487	0.18539100833486485	0.19448776712067756	0.3260775290901527	0.0689807943733005	0.0013405702704972014	0.0013405702704972007	-43245.57151665913	0.0	-108.92186577110054
30000	-43241.36309124166	-124.28882114183934	-43117.07427009982	0.41504589617428045	2019.746156289618	7.248836494877868	1.070841063672594	10.468574731759947	0.4697672473014617	5.910698408156612	0.2955281197029049	0.18775553876152426	0.19420858076605538	0.3225077607695154	0.04594497789677214	0.0013039968717717472	0.0013039968717717472	-43117.07427009982	0.0	-113.94787781192531
40000	-43095.82093033509	-103.02918016752744	-42992.79175016756	0.3307687419210943	2019.8304334438712	7.234811789784375	1.4457209250935432	21.610636058515496	0.13216806974981612	3.835946046235375	0.29588427655378385	0.1833462431930268	0.1977025962905868	0.3230668839626025	0.02544858865172085	0.001273921196913319	0.00127392119691332	-42992.79175016756	0.0	-94.24191962837317
50000	-43051.04817949764	-104.21082277353432	-42946.8373567241	0.27501117137704795	2019.8861910144153	7.499020562225088	3.0343740349532284	33.04652313562401	0.11226313647209615	4.220326330187014	0.2950283967755608	0.18353725000379434	0.1934583815442216	0.3279759716764232	0.02906259113035543	0.001127587115113024	0.0011275871151130228	-42946.8373567241	0.0	-94.7322232426802
60000	-43016.188979614475	-102.20131359244462	-42913.98766602203	0.27010546429892124	2019.8910967214933	7.29751078115462	2.0042326007151137	36.83125365826419	0.13136833630636685	4.641256840972193	0.3006475063379196	0.18428538576420533	0.19667993539784442	0.3183871725000305	0.014524323924033522	0.0011758608275191276	0.0011758608275191274	-42913.98766602203	0.0	-92.80213295695303
70000	-42972.67017906532	-90.54300654011247	-42882.1271725252	0.24426959219674554	2019.9169325935954	6.809812675728257	2.40332002848027	28.752179841213543	0.09865040250285724	4.365046455316649	0.2966578557973437	0.18423346681034866	0.19483396387392854	0.32427471351837905	0.00669461101959044	0.0011491516743803735	0.0011491516743803735	-42882.1271725252	0.0	-81.4133865737404
80000	-42936.09667449389	-106.62293647741609	-42829.47373801647	0.26116838085534944	2019.9000338049368	7.5692628263091715	2.935864509315835	41.92346353558082	0.13036886881745377	4.225323471580019	0.29741826476601424	0.18378901096874786	0.197106878527183	0.32168584573805475	0.0075263434780881355	0.0010376578644499806	0.0010376578644499801	-42829.47373801647	0.0	-97.0283268990604
90000	-42923.70495705033	-99.22529815965436	-42824.479658890676	0.2398239102425727	2019.9213782755496	7.503999495352664	3.774444093261581	46.91235634244217	0.11701911331335317	3.8535766379917726	0.2977322880159788	0.18535172618865484	0.1977168581694764	0.31919912762589	0.03596749762325305	0.0010146745060813916	0.0010146745060813916	-42824.479658890676	0.0	-89.49036242551993
100000	-42918.073041761854	-110.3567258913902	-42807.716315870464	0.24678376070080724	2019.9144184250915	7.627540276272146	2.684060745220607	45.47886866655062	0.1445067667233512	4.925211628496945	0.29727111004169243	0.18324678790344706	0.19542051942683983	0.3240615826280207	0.06812431881119396	0.0010696753730783735	0.0010696753730783735	-42807.716315870464	0.0	-100.37716689375262
110000	-42901.07735318425	-110.26698027120521	-42790.810372913045	0.26158141196245677	2019.8996207738298	7.79360909674827	2.1687132227889565	40.713603140470646	0.1438892051106301	3.598474373505215	0.29605210536103393	0.18155349308723814	0.19877473194892792	0.3236196696028001	0.07321487087282384	9.534274994289627E-4	9.534274994289625E-4	-42790.810372913045	0.0	-101.00675807549555
120000	-42893.6948212592	-104.55299455967483	-42789.14182669953	0.2453167099850328	2019.9158854758073	7.549234970141962	2.695510530357556	44.78468081513963	0.13572522713368945	3.9069010668055997	0.29606333414490277	0.1819895679392699	0.19664668182443634	0.3253004160913911	0.04501400825719245	0.001050620465256574	0.0010506204652565745	-42789.14182669953	0.0	-94.99161082927878
130000	-42868.24854057812	-108.99055583272639	-42759.25798474539	0.24753850811784311	2019.9136636776743	7.625251484381195	3.615721943836015	37.48092466468896	0.12152698503934004	3.9536528456773747	0.29782468878590207	0.18588395691406995	0.19339522512789356	0.32289612917213456	0.0482536667806735	0.0010715392516346877	0.0010715392516346886	-42759.25798474539	0.0	-99.28247140379551
140000	-42862.11940869564	-91.34588110080924	-42770.77352759483	0.24910971714367272	2019.9120924686486	6.910577370482214	1.782585008718969	43.05597259017693	0.14354593732689938	5.036004016056365	0.3011352068511254	0.18623473931287202	0.19224063233032831	0.3203894215056745	0.05125615118896678	0.001154515366250179	0.001154515366250179	-42770.77352759483	0.0	-81.69978119813615
150000	-42852.42816598052	-84.56071363331678	-42767.8674523472	0.24397487080023003	2019.917227314992	6.923851309712848	2.13430218950369	52.815033691669214	0.13498120995219468	3.6941674509837945	0.3007657485186604	0.18407855282929134	0.1939773454037917	0.3211783532482567	0.02088170052926589	0.0011899720242533648	0.0011899720242533652	-42767.8674523472	0.0	-75.16109291224923
160000	-42845.7674009775	-80.21257506018404	-42765.554825917316	0.22117365878402442	2019.9400285270083	6.688697035849503	2.64664599092022	49.51428191585705	0.11985662979996392	5.276709766225204	0.2985153199751873	0.18408011191425386	0.19133794684517072	0.3260666212653884	0.05178057967509535	0.0011459659949028071	0.0011459659949028063	-42765.554825917316	0.0	-70.22988120533661
170000	-42865.04912140716	-86.0493533033636	-42778.99976810379	0.233459262999524	2019.9277429227927	7.153820712019007	2.0252189438576793	58.80665494681714	0.1382644471682171	3.708638955725739	0.29705915377048236	0.18285247210608466	0.19744247045562333	0.32264590366780993	0.153378523428291	0.00109853823746401	0.0010985382374640099	-42778.99976810379	0.0	-76.40176684617438
180000	-42853.633409699774	-88.65791979056331	-42764.97548990921	0.2287692789692161	2019.9324329068231	7.04197129034471	1.5369358444010848	56.785643069745205	0.14780905939725777	4.841351549330334	0.3007820270428741	0.18012519399662208	0.1948837041301658	0.3242090748303383	0.07265985015755803	0.0010922250933015623	0.001092225093301562	-42764.97548990921	0.0	-79.02427381284737
190000	-42861.07247003033	-102.70709456824233	-42758.36537546209	0.2339561841659205	2019.9272460016264	7.811917738361881	2.743499720650829	50.35727287139734	0.13608793837674885	4.179165259651462	0.29869560242720966	0.18137262366949364	0.19716564424307992	0.322766129660217	0.042794396367612474	9.90645784778801E-4	9.906457847788013E-4	-42758.36537546209	0.0	-93.03633430132638
200000	-42862.6672022479	-108.17367816239239	-42754.49352408551	0.24054501875050543	2019.9206571670418	8.102100535652253	2.964436888760729	61.331734812672224	0.14675084838440167	4.42961083056851	0.30250873238104664	0.18287048561918226	0.19452082221690012	0.3200999597828713	0.06689351210009038	0.0010685660487620148	0.0010685660487620148	-42754.49352408551	0.0	-98.0953782141038
210000	-42856.86418237102	-96.61302820147313	-42760.25115416955	0.23546666759665963	2019.9257355181956	7.374249112225167	2.1653359864725177	57.874180801510136	0.14416000253536052	5.960733768193428	0.29737492017060757	0.18550292858647852	0.19837675610267297	0.3187453951402413	0.03086062134700146	0.0010872184885615422	0.0010872184885615424	-42760.25115416955	0.0	-86.49480785880799
220000	-42867.49177042235	-107.55163205143913	-42759.94013837091	0.24226120651289196	2019.9189409792793	7.766977344165953	2.242721975221438	52.9340460899945	0.1463688068830019	4.874206366630599	0.29920126806409575	0.18255386653910088	0.19242926046029407	0.3258156049365096	0.08744782093430965	0.0010395500460292683	0.0010395500460292685	-42759.94013837091	0.0	-97.65888122471239
230000	-42871.62002618556	-112.36555726998017	-42759.254468915584	0.24564149299008634	2019.9155606928023	7.934796734998703	2.231286780061503	55.61671973967088	0.14249949701999928	5.15355179640176	0.29619535731726654	0.1833452410718235	0.19605703369006977	0.32440236792084054	0.027575129574952766	8.944944918749121E-4	8.944944918749125E-4	-42759.254468915584	0.0	-102.6066127685187
240000	-42873.79907282326	-125.82597908998171	-42747.97309373328	0.25722194836073653	2019.9039802374316	8.791680091047379	3.7826877895444957	56.26379161104683	0.1479963188051986	5.151721050377288	0.30214950408730834	0.1808276933623057	0.19276576540507007	0.3242570371453163	0.08100810937691859	8.446204444746852E-4	8.446204444746851E-4	-42747.97309373328	0.0	-115.45938094979425
250000	-42870.40076620621	-124.82455107223873	-42745.576215133966	0.2526620627459532	2019.9085401230464	8.412468876814836	1.789587023965811	57.79807327310803	0.17349251946735167	4.073072738010483	0.29538536270590937	0.18287497416887888	0.19422802471358067	0.32751163841163144	0.046929556886770564	9.29566829324732E-4	9.295668293247314E-4	-42745.576215133966	0.0	-115.33525363905972
260000	-42870.71686158384	-135.456414428994	-42735.26044715485	0.24888449846134278	2019.9123176873309	9.094535355251004	3.2396900379474456	53.928761602869514	0.1590757207707319	4.7027217573816245	0.2981050490790172	0.18217392299591326	0.19561598945221484	0.32410503847285504	0.07471780723882263	7.981009006229927E-4	7.981009006229925E-4	-42735.26044715485	0.0	-125.38963983686486
270000	-42878.62320201214	-134.57884782582528	-42744.04435418631	0.2753575301987448	2019.8858446555935	9.137061929936483	2.8906042470054483	50.29859220663965	0.15648288154156081	3.8489229919228167	0.2970644634147887	0.18358832619340976	0.1978350933527828	0.32151211703901905	0.012044630177298059	8.64401708622127E-4	8.644017086221264E-4	-42744.04435418631	0.0	-125.02710928546342
280000	-42882.69268399674	-138.44732097779078	-42744.24536301895	0.28589752963267884	2019.8753046561596	9.110771417549437	2.7130193633000945	51.37157098417253	0.17417567835188819	4.288579931494301	0.29466757500760465	0.18657556577169057	0.19408736479744743	0.3246694944232577	0.0630991539216533	8.176136837815926E-4	8.176136837815921E-4	-42744.24536301895	0.0	-128.63044086052543
290000	-42900.858434758135	-160.84618170587387	-42740.012253052264	0.28211574098847325	2019.8790864448038	10.418383887793963	2.4153048330604747	53.40821414259331	0.17983153197998944	4.638964538072794	0.30106675273534067	0.1831926793818616	0.1966032197014247	0.31913734818137346	0.056165126537054584	7.488292688897661E-4	7.488292688897668E-4	-42740.012253052264	0.0	-151.11258239175112
300000	-42912.253145516384	-167.1537176977668	-42745.09942781862	0.31129552436518193	2019.849906661427	11.034441685660205	3.495372915788817	45.20159943605048	0.18725589021134376	3.7181922811136503	0.2989043598450803	0.179303583195566	0.19770109527389199	0.32409096168546214	0.05235021747288465	7.886729362315334E-4	7.886729362315331E-4	-42745.09942781862	0.0	-157.37679728547744
310000	-42898.73017508156	-167.1015066467239	-42731.62866843484	0.33020496016557077	2019.8309972256268	10.745970792475445	2.8223290811559427	36.349690260753974	0.18363190960183817	4.174056269920457	0.3009999115320572	0.1815445680948052	0.1939589420897238	0.3234965782834143	0.02677968863959125	7.368186515873691E-4	7.368186515873694E-4	-42731.62866843484	0.0	-157.58380624657798
320000	-42891.40670095232	-150.89083811624502	-42740.51586283607	0.317631859265828	2019.8435703265263	9.59390954426607	2.5203463493830234	36.969137495462945	0.16741738085263422	4.828237040573622	0.2973673381407377	0.18255684999024793	0.1947511701380874	0.32532464173092757	0.11279538858506029	7.41996556608663E-4	7.419965566086632E-4	-42740.51586283607	0.0	-141.14816358654255
330000	-42867.61976257975	-132.48316371884098	-42735.13659886091	0.29452707638266684	2019.8666751094097	8.760830748002421	1.9630649324117815	45.35280690385821	0.18307670008914675	4.511085944507221	0.2988337770385135	0.18550637797917133	0.1933263406543439	0.3223335043279718	0.03257797821406005	9.218842052612196E-4	9.218842052612199E-4	-42735.13659886091	0.0	-122.90163919316991
