# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Jan 24 21:25:59 GMT 2021 [seed=1611523549679]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-85470.44415197706	-58.66655999709456	-85411.77759197998	1.56149789911482	2018.520469314	7.965549384864541	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-85411.77759197998	0.0	-36.83426552216235
10000	-40928.719645190205	46.336863571596695	-40975.0565087618	0.1387152243839927	2019.9432519887307	0.8664245621731449	0.08332225686925039	6.5512251866351745	72.87888466756355	3.364635890690172	0.2974550753463586	0.18169430106446866	0.19693759873584668	0.32391302485332607	0.144568298581394	0.00278034771884448	0.00278034771884448	-40975.0565087618	0.0	61.49547047592377
20000	-40942.74807316372	29.174431839859494	-40971.922505003575	0.1555984512083359	2019.9263687619064	1.107381421519344	0.14467028233191212	0.12764361815566394	31.594953678883094	4.427976004935479	0.30221865485090327	0.18372999889937564	0.19484512777391585	0.3192062184758054	0.04161791151929949	0.002270928014899896	0.002270928014899895	-40971.922505003575	0.0	43.40820830248506
30000	-40920.383254060915	45.6244620570156	-40966.00771611793	0.1635016795784327	2019.9184655335362	0.9896349876498428	0.08088977989837733	4.574172206547998	51.903228854158016	3.720440353106831	0.296529789335984	0.1843443924581528	0.19516097101765167	0.3239648471882118	0.05692956649728999	0.0021842794776679476	0.0021842794776679485	-40966.00771611793	0.0	60.15436885718344
40000	-40893.09533451285	68.12925812808125	-40961.22459264093	0.12113068127877247	2019.9608365318359	0.6472648954171883	0.047040547944641846	15.069691202617442	5.654994751816604	3.5330865807515095	0.298118082495725	0.18549542301166044	0.19573452252383688	0.3206519719687779	0.3667706793189455	0.0035890910795300626	0.0035890910795300635	-40961.22459264093	0.0	81.49345219351387
50000	-40896.77043094209	71.01163435759047	-40967.78206529968	0.11680562239915188	2019.9651615907155	0.6375284175305277	0.04055236155012114	13.827007004435707	12.781260740073902	2.9670306023211452	0.29732592450148737	0.18492060848361408	0.1935760686730385	0.3241773983418602	0.03649472108724965	0.003703789972649301	0.0037037899726493004	-40967.78206529968	0.0	84.35865399612806
60000	-40908.108596467966	50.801686364335524	-40958.9102828323	0.12110315541418634	2019.9608640577005	0.773464967693619	0.0613050900014756	5.879568349308768	4.715285329762273	3.0641586514654424	0.29919932562279866	0.18379515414283884	0.19302149691707146	0.3239840233172911	0.19571876923116635	0.0032099156994456917	0.0032099156994456926	-40958.9102828323	0.0	63.24986570723176
70000	-40930.02241877783	38.67442096513345	-40968.69683974297	0.12815496599964965	2019.9538122471151	0.9011023681018206	0.10387503874429688	5.608016335243408	437.7373463723371	5.546434016630751	0.2986580046982024	0.18273895190384118	0.19619650718027234	0.322406536217684	0.5116805597223747	0.0026685002619642713	0.002668500261964272	-40968.69683974297	0.0	57.35603249133561
80000	-40960.57700148191	-2.7568887918284783	-40957.82011269008	0.2379377503751514	2019.8440294627396	1.7578961392758816	0.23531794020290264	8.105527669161493	257.2383673243152	4.355307467083599	0.2977763058059242	0.18570995177734495	0.19906559185912134	0.3174481505576095	1.212521035603217	0.001398651421325531	0.0013986514213255308	-40957.82011269008	0.0	15.883257010416871
90000	-40969.84103958048	-23.653913758356286	-40946.18712582213	0.23886382360710995	2019.8431033895076	2.441930713707373	0.41424287461465115	9.532691121197887	2024.1733028734827	3.7017897769082038	0.29675815952241624	0.18278585059003802	0.1982938571188764	0.3221621327686694	0.6599480374043953	7.893637081933348E-4	7.893637081933347E-4	-40946.18712582213	0.0	-2.671348482395454
