# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 15 12:53:09 GMT 2021 [seed=1610715179509]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-119110.39682679623	-379.3534683821221	-118731.04335841411	2.4088592087979306	2018.085676310328	26.70136641753134	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-118731.04335841411	0.0	-346.3062379276294
10000	-57620.63637166576	-761.8303350449108	-56858.806036620845	1.117974615809634	2019.3765609033162	38.14568261863053	6.990700103586664	2.620213210750892	6.335392950158161	0.29129275094542456	0.18044904674700393	0.1922703597379522	0.3359878425696191	0.025699804097511346	0.0016177922214456902	0.0016177922214456902	-56858.806036620845	0.0	-756.4537578135249
20000	-56572.91617202731	-807.5645974232124	-55765.3515746041	0.8843302742586393	2019.610205244867	39.69167611742617	14.976529216853338	4.37046391566461	6.190602191441266	0.2850224949098966	0.1805246717181671	0.18946376717202568	0.34498906619991043	0.009047797534246336	0.0013361967803411864	0.0013361967803411862	-55765.3515746041	0.0	-801.3490625347748
30000	-55772.77739209675	-820.2415293252528	-54952.535862771496	0.8213281099366988	2019.673207409189	40.30873301152524	16.46005009418803	4.360248534478894	5.446210288921986	0.2934357285289104	0.17979220289941486	0.19276082959867807	0.33401123897299656	0.026439353240266684	0.0012813014929815058	0.0012813014929815075	-54952.535862771496	0.0	-814.075870487916
40000	-55186.96493326725	-812.7238844955206	-54374.24104877173	0.8887500605753031	2019.6057854585504	41.601775779033396	27.17486908695188	5.7869070472269915	5.353666156129017	0.29179955866589374	0.18024089518854586	0.19074754510443342	0.33721200104112686	0.009696417208144723	0.0011199239041683135	0.0011199239041683137	-54374.24104877173	0.0	-805.9317597676064
50000	-54627.64189257425	-818.4377583581785	-53809.20413421607	0.9732203368135819	2019.5213151823123	42.95583058680488	37.58727339159105	6.549100388046664	4.662176529456405	0.2885055948211364	0.1836810359509984	0.1886462138830102	0.3391671553448549	0.011598138403078688	0.0011191923385188301	0.0011191923385188282	-53809.20413421607	0.0	-811.317009370284
60000	-54439.609784551525	-834.71006283045	-53604.89972172108	0.9161827425189001	2019.5783527766068	44.25632113457041	43.75875912362445	7.071625504749395	4.818547761136064	0.2938747423665043	0.1806953160633967	0.18905848668996533	0.3363714548801337	0.04713822456953263	0.0010122787735134056	0.0010122787735134056	-53604.89972172108	0.0	-827.2819243168194
70000	-54104.420700468574	-868.7295108615338	-53235.69118960704	0.8777996713838194	2019.616735847742	46.11838806298124	63.162994295365515	7.44878422931064	5.816656849410834	0.2918207534898564	0.1812605986151284	0.1898034177731126	0.3371152301219027	0.019432815562236215	9.511978188494801E-4	9.511978188494794E-4	-53235.69118960704	0.0	-860.4982737548701
80000	-53788.293670480336	-866.9097628543263	-52921.38390762601	1.0585689646089207	2019.4359665545169	46.79874146902894	51.02474749928696	6.888350127857858	5.256738130072347	0.29156902499360354	0.18043947154657647	0.191033604990075	0.33695789846974505	0.017383205908407712	9.097677884000451E-4	9.097677884000451E-4	-52921.38390762601	0.0	-859.2418695699055
90000	-53492.38589620815	-850.771043418189	-52641.614852789964	0.9114723782199581	2019.5830631409058	45.65671548845081	39.96998242695613	6.350910192374531	5.966750910535109	0.294444660339226	0.18004053670527723	0.19279262713471265	0.3327221758207841	0.015355554493010376	9.185840599959588E-4	9.185840599959576E-4	-52641.614852789964	0.0	-843.3264717325002
