# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Jan 28 12:53:04 GMT 2021 [seed=1611838360399]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-122384.17325183962	-462.69350407863146	-121921.47974776098	3.628780384962622	2016.8657551341632	30.437826187492266	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-121921.47974776098	0.0	-419.05921290185205
10000	-58127.501032319844	-674.9183425276826	-57452.58268979216	0.8265299645791782	2019.6680055545467	32.314196812100825	3.360832397933541	13.36808402689547	0.47412831552876034	5.778772805326775	0.26984809688381767	0.18578874533349665	0.22271278940970402	0.32165036837298167	0.04245203514789831	0.0019502347185624059	0.0019502347185624068	-57452.58268979216	0.0	-664.0313947407193
20000	-56779.13429539386	-707.4642061116054	-56071.670089282256	0.6800935094317514	2019.814442009694	34.178628356638605	4.401870530571558	16.35478488128666	0.4165425343154691	5.699400813017131	0.2878667174866174	0.1814238252414227	0.19023044307729042	0.3404790141946694	0.02157285437311269	0.00168547306236933	0.0016854730623693263	-56071.670089282256	0.0	-696.5521667465738
30000	-56168.7720346885	-739.4664166425191	-55429.30561804598	0.6308985939116555	2019.863636925214	36.23606103953789	5.495561723540262	21.926063787494037	0.41669863835845683	5.673597660079021	0.29364665622162034	0.18002375597733938	0.1920717965026976	0.33425779129834277	0.011205836730650114	0.00151737824152932	0.0015173782415293191	-55429.30561804598	0.0	-728.3552779991204
40000	-55726.34606793505	-749.3761918750673	-54976.96987605998	0.6364779344765417	2019.8580575846493	36.99701461543647	5.679143548109087	24.761129493106132	0.4238548922276141	5.229891438742555	0.2973013141456694	0.1785595243306606	0.1873420980901599	0.33679706343351007	0.04890914138999876	0.001346948661159332	0.0013469486611593319	-54976.96987605998	0.0	-738.2982734339993
50000	-55380.71355276028	-745.9215469278676	-54634.792005832416	0.6292860236353945	2019.8652494954904	37.05249088129113	6.118308975020452	29.535285938385858	0.4150717182577764	5.205255865255667	0.2960866910864388	0.17932282641532984	0.18849378633018465	0.33609669616804666	0.021313695093470083	0.001325624251647971	0.0013256242516479723	-54634.792005832416	0.0	-734.7992422144961
60000	-54928.00285912356	-752.0820757045315	-54175.92078341903	0.6551045108480845	2019.8394310082776	37.658178258950095	6.5923105277635345	22.71401944594814	0.3889411739444616	4.807325168250247	0.29056387912380993	0.17990786925530483	0.19198028715122842	0.33754796446965685	0.01731443726928742	0.001218842825458529	0.0012188428254585274	-54175.92078341903	0.0	-741.1744054743675
70000	-54624.34754445764	-744.9691626676042	-53879.37838179003	0.7134528076899085	2019.7810827114358	36.93596728039946	6.837560159893765	16.86817060591682	0.37076018209765715	5.399162449079575	0.2911179718792327	0.18256648555763486	0.18879388872551067	0.33752165383762195	0.019547699178814486	0.0013213919561731629	0.001321391956173163	-53879.37838179003	0.0	-733.9027806809374
80000	-54454.67074038956	-736.5690967285492	-53718.101643661015	0.6216710172971778	2019.8728645018286	36.38575015219518	7.567925819402038	17.437298524665003	0.3603774874763007	4.98060704644776	0.2920175789459449	0.1785044103679695	0.19288754398816327	0.33659046669792253	0.013658003007780188	0.0012476227103292842	0.0012476227103292844	-53718.101643661015	0.0	-725.5496866552216
90000	-54253.91970737003	-746.3690943866371	-53507.55061298339	0.6152825726052521	2019.8792529465204	37.338724974621066	7.3128475917806455	20.849988577516587	0.371176590730298	5.075254430020919	0.29540360692767126	0.17835513705783287	0.19010958964977134	0.3361316663647246	0.043480564985181464	0.0011551119516519514	0.0011551119516519518	-53507.55061298339	0.0	-735.2968006445292
100000	-54092.15693573741	-735.3035125738643	-53356.85342316354	0.6293392027125799	2019.8651963164132	37.1266129919664	8.093223194409337	16.845801823364965	0.3317530800415127	5.269651214904358	0.292450687729343	0.18326829519118565	0.19219722568064698	0.33208379139882443	0.04330419608683983	0.0011625130917317014	0.0011625130917317008	-53356.85342316354	0.0	-724.1969310395648
110000	-53846.7105182178	-731.0148922713586	-53115.69562594644	0.6423560296299835	2019.8521794894957	36.90379525819177	10.629108892713537	16.455667083620543	0.3181056704330008	5.2041954662813215	0.292266444912519	0.18199896277930128	0.19272146862846756	0.33301312367971225	0.028634139136029763	0.001165676819560827	0.0011656768195608266	-53115.69562594644	0.0	-719.6408479603411
120000	-53737.38068762718	-720.1754584354417	-53017.205229191735	0.6227404083766512	2019.8717951107492	36.24381086843354	8.537184650268202	14.201047714914118	0.316038050737148	4.922933369807616	0.2945557621550885	0.1788059867922017	0.19045178656477976	0.33618646448793016	0.05135086055055925	0.0011632828259512081	0.0011632828259512057	-53017.205229191735	0.0	-709.1434455367763
130000	-53586.799783079696	-740.9934869638272	-52845.80629611587	0.7361547800619791	2019.7583807390638	37.73152836677495	14.026213028039548	10.39177479190282	0.2280864484066696	4.7300456324592455	0.2901008251445927	0.17999712872106546	0.1931424823222143	0.3367595638121276	0.006733257460605551	0.0011323362647768496	0.001132336264776849	-52845.80629611587	0.0	-729.8330230631583
140000	-53506.8075913232	-724.1717002651448	-52782.63589105806	0.6416592867195411	2019.8528762324063	36.87367772926904	21.38706543974789	10.336570882785418	0.18160846068334646	4.980277231922594	0.29496017826217785	0.1778934753574264	0.19717812216847969	0.3299682242119161	0.009119553593635735	0.0011636787233930777	0.0011636787233930774	-52782.63589105806	0.0	-712.5215305287218
150000	-53406.211044727956	-748.6015494881956	-52657.60949523976	0.6786944282437813	2019.815841090882	38.15641327810764	31.512674598931152	9.856797298803393	0.13441021240763565	4.971801767137128	0.2934049663821493	0.17668758730252024	0.19138494903166256	0.33852249728366796	0.06443423425100452	0.0010840486808574587	0.00108404868085746	-52657.60949523976	0.0	-736.5964298875391
160000	-53271.55219195326	-734.1674798256249	-52537.384712127634	0.6386698069557691	2019.85586571217	38.035364333312	53.15228646601192	8.028930354820933	0.07549045894283316	5.166549090801852	0.2918204869558559	0.1854850039141726	0.19191662528391448	0.33077788384605716	0.03850352808125051	0.0010844906494425729	0.0010844906494425711	-52537.384712127634	0.0	-721.8762710425736
170000	-53165.096614015085	-734.7735621340237	-52430.32305188106	0.6823022069159299	2019.8122333122099	38.16250865170993	89.06857902540365	7.424929903513318	0.045159957951461015	5.24754023667673	0.2981318453178918	0.1807253593071151	0.1941517994429227	0.3269909959320705	0.019022516136241594	0.0010125600528276889	0.0010125600528276871	-52430.32305188106	0.0	-722.1239530740762
180000	-53110.68873830036	-722.4062333748249	-52388.28250492554	0.6927879222829479	2019.8017475968427	38.30193765346251	59.49098646394756	9.234831702179303	0.07992381795357854	5.474880516049263	0.2877858966330152	0.1842768279559065	0.19124718991511486	0.33669008549596363	0.008532299529234308	0.001036173001389575	0.001036173001389575	-52388.28250492554	0.0	-709.8528775338959
190000	-53013.4159086228	-731.1824400668105	-52282.23346855599	0.7243805281033637	2019.7701549910223	39.213965314193096	79.02489181585389	10.139212235927202	0.07301855795620604	5.475298262028972	0.29433424422244725	0.17984134260140197	0.18796055251521	0.337863860660941	0.030406721907770426	0.0010247762720322741	0.0010247762720322735	-52282.23346855599	0.0	-718.1701944580592
200000	-52924.74479510048	-729.0416973391756	-52195.7030977613	0.6688265508848887	2019.8257089682409	39.65759252758749	72.70812549187211	9.776652704076117	0.07871118591957212	5.1883506208691745	0.29456771235217966	0.17750083928657284	0.1899827882745569	0.33794866008669094	0.021079358734412273	9.631503027201476E-4	9.631503027201483E-4	-52195.7030977613	0.0	-716.2450079612623
