# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Fri Jan 29 00:34:18 GMT 2021 [seed=1611880232459]
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	exponential.popSize	exponential.growthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	meanRate	treeLikelihood	branchRates	coalescent
0	-158851.35222971893	-726.1886539536197	-158125.16357576533	2.9664762671293134	2017.9460920388815	43.2752055970387	1.0	0.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	1.0	1.0	-158125.16357576533	0.0	-676.8090168752246
10000	-87902.94944929123	-1474.3432924321737	-86428.60615685907	2.0696354174447094	2018.842932888566	71.01121751714489	5.098631837066678	0.8465387655014225	4.728483784077894	0.27971542990858783	0.16931482836330813	0.1801863195233943	0.3707834222047097	0.013746572052465898	0.0029656203342488478	0.0029656203342488486	-86428.60615685907	0.0	-1469.6684510153195
20000	-84904.10397731877	-1725.6097396283885	-83178.49423769038	1.2827942466874631	2019.6297740593234	83.62559185946195	16.415509425370548	2.0040131506286727	4.8888477147693905	0.2815921573180317	0.1747161260272328	0.18234990183161393	0.36134181482312167	0.022055775162322024	0.0022800830462081168	0.0022800830462081133	-83178.49423769038	0.0	-1719.5702863344136
30000	-83502.7118643073	-1800.8635634621746	-81701.84830084513	1.1725672011291997	2019.7400011048817	89.83828182357013	22.81488090470515	2.429097896859101	4.800673890919761	0.27756971965031885	0.17670302217556524	0.18297314777963025	0.36275411039448563	0.022802619147314743	0.0019253473902211458	0.0019253473902211395	-81701.84830084513	0.0	-1794.490664064482
40000	-82018.03205473523	-1852.3384735116763	-80165.69358122356	1.174671199396319	2019.7378971066146	94.65865880271461	30.95170373159991	2.6668840382074297	5.082377578048175	0.27965182794533905	0.1746665856785593	0.183296476374192	0.3623851100019096	0.018207774852725588	0.0017244330944251676	0.0017244330944251682	-80165.69358122356	0.0	-1845.5056729140845
50000	-81009.24880324012	-1892.211590354033	-79117.03721288608	1.1960888758207957	2019.71647943019	99.1023788415145	71.1956806671422	3.9406922077600486	4.888762292392389	0.27965489967455026	0.17636853027721017	0.18034350808799993	0.36363306196023965	0.03790467383745546	0.0015283629903241871	0.0015283629903241893	-79117.03721288608	0.0	-1884.049330538806
60000	-80177.33141313202	-1912.7333904924692	-78264.59802263955	1.1465468041012332	2019.7660215019096	102.07796270993896	78.24494041737631	4.088270692444643	4.730933731531919	0.28008789135389894	0.17363509729443274	0.18349927735067592	0.3627777340009923	0.006456621426780741	0.0014915913540451036	0.0014915913540451055	-78264.59802263955	0.0	-1904.530924310326
70000	-79619.53123143344	-1929.0202608330223	-77690.51097060042	1.236463609493486	2019.6761046965173	104.25177807567931	72.47316116944106	4.001730390108811	5.158748758080175	0.2797817916466791	0.17257200521924868	0.18239511688353843	0.3652510862505337	0.014744362793700314	0.0013581912788894143	0.0013581912788894204	-77690.51097060042	0.0	-1920.890717184495
80000	-78891.06629148434	-1931.2051651378094	-76959.86112634653	1.1283191282778184	2019.784249177733	105.51219006597722	88.81516534175054	4.216106033460206	4.5451316138083175	0.28045335176869746	0.17466609336918013	0.18482279824292402	0.3600577566191983	0.019424773611574086	0.001342042109502964	0.0013420421095029667	-76959.86112634653	0.0	-1922.8741181507958
90000	-78537.83078479521	-1938.1190874429003	-76599.71169735231	1.142889914081918	2019.769678391929	106.50938995395846	96.13739307472532	4.376650170202172	4.7261415554302495	0.2791225572468342	0.17709089528676747	0.1802438634354451	0.36354268403095297	0.027797854021618204	0.001300891173601064	0.0013008911736010645	-76599.71169735231	0.0	-1929.5915622043888
100000	-77977.03703207517	-1939.0542553788177	-76037.98277669636	1.1851926414626088	2019.7273756645482	107.43673355527703	114.70443141100043	4.510826945894955	4.831806044458213	0.2789531724300729	0.17678936847719978	0.18623315425514908	0.358024304837578	0.03611479202643239	0.0012948782549322701	0.001294878254932274	-76037.98277669636	0.0	-1930.1468608395983
110000	-77370.47080521187	-1960.4773397997865	-75409.99346541207	1.1810770087175368	2019.7314912972934	109.45628244951331	125.68872202357029	4.605167917213213	4.829071798002212	0.27999454331417695	0.1730330799863457	0.18484692487336513	0.36212545182611194	0.019271422577377323	0.001209395041843402	0.001209395041843401	-75409.99346541207	0.0	-1951.4756097253621
