# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Apr 13 11:58:58 BST 2021 [seed=1618311535785]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/augLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-77464.04681312437	-524.1587559604212	-76939.88805716395	2.0632160833313717	2018.6007183428983	31.08894277782741	1.0	0.1	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	9.999999999999996E-4	6.508603815979819E-16	0.9989561586638829	-76939.88805716395	0.0	-518.9645125812141
100000	-62601.139037663415	-1177.2586736973515	-61423.88036396606	1.0119427119798403	2019.6519917142498	60.69828210207841	16.807041439986627	7.006455179113432	0.30798799570324326	4.75281138680312	0.29289161774133	0.17572683172192113	0.18995761589022395	0.3414239346465253	0.05187062646374429	3.446976674515044E-4	0.0017648369250693502	0.0012380931900559382	0.6726063769511167	1.823245041047053E-14	-61423.88036396606	0.0	-1170.8735195150682
200000	-60835.930672747985	-1258.841881249563	-59577.08879149842	1.0233826551412186	2019.6405517710884	67.64375444774932	26.131614646136015	7.991857735254148	0.32038909531857046	4.6345074912044	0.2868712824390636	0.1795774899534939	0.18913323866536863	0.34441798894207404	0.04422053345787882	3.6894335883304904E-4	0.0012323531775147887	9.489282179182089E-4	0.5388687650441826	-4.9136941202885604E-14	-59577.08879149842	0.0	-1252.0636791783327
300000	-59875.918519710984	-1283.7506476236497	-58592.16787208733	1.000470107253465	2019.6634643189761	69.52578428631708	28.37045476445633	8.269129580813203	0.33750006595688886	5.200060160263392	0.29222286920608065	0.18004029830085755	0.1856568684116954	0.34207996408136665	0.03652478445163971	3.595703813340674E-4	0.0010907325475408322	8.710022078070602E-4	0.5038769092487742	1.879226203618346E-14	-58592.16787208733	0.0	-1276.7536468600383
400000	-59458.65456812478	-1311.2871138693276	-58147.36745425545	1.1458628796791583	2019.5180715465503	71.97281421261654	25.390888347135252	7.935984917970295	0.3409016640835737	4.790987533369133	0.2894566237153346	0.1753566235822315	0.18737346954298456	0.3478132831594491	0.04353963566879677	3.9102036222270697E-4	0.001043685997669592	8.344825418356509E-4	0.45471752537106114	2.05661031227049E-15	-58147.36745425545	0.0	-1304.5699558479712
500000	-58987.869246450886	-1289.5439316627242	-57698.32531478816	1.0368469116672032	2019.6270875145624	69.35168925098046	23.521995815846985	9.501168586711334	0.36533259057092077	4.901184270274506	0.28821499660458794	0.1774152739303172	0.18784422082168842	0.3465255086434063	0.013795171920520492	4.0093220436649796E-4	0.0010420624930864732	8.243095186008983E-4	0.44412489427327817	-7.437452603466912E-14	-57698.32531478816	0.0	-1282.8430682674618
600000	-58640.90632828142	-1220.8151059648446	-57420.09122231657	0.9549942255432615	2019.7089402006864	63.66925552776417	19.00224175818368	10.550728712821154	0.3865066866624267	4.793987886043995	0.29263775028078415	0.18084400535608164	0.1892430116213378	0.33727523274179694	0.056705618736723265	4.3429720764527434E-4	0.0010947846496327331	8.703701353145119E-4	0.43178599849374605	-7.150714750768881E-14	-57420.09122231657	0.0	-1214.1673068240304
700000	-58522.584493576134	-1168.5012010068967	-57354.08329256924	0.9015861604991742	2019.7623482657305	59.90730873588158	12.634292497204047	10.981724329083832	0.4427213895467472	4.931893919853748	0.29315360724689454	0.18367288383895647	0.1854348600982689	0.33773864881588084	0.027751620805378456	4.595222775627034E-4	0.0011358246033601495	9.020937138150949E-4	0.4237675885654722	-5.979808008609564E-14	-57354.08329256924	0.0	-1162.2123552777957
800000	-58205.6955677488	-1087.5481507524335	-57118.14741699637	0.8277949103041055	2019.8361395159254	55.19653044960505	11.423684491578122	11.591930483398528	0.42146582315426007	4.7976036404093865	0.28712135878040046	0.17697176803777	0.19128768638750507	0.3446191867943247	0.03191170373019626	4.51513648889399E-4	0.0011810585309265846	9.327579488317885E-4	0.4466844812722292	4.821237049394334E-16	-57118.14741699637	0.0	-1081.382918772281
900000	-58210.58861101687	-1115.7814452339458	-57094.80716578293	0.7826224514162795	2019.8813119748133	57.35451380036627	12.604463411844124	12.333462952300662	0.42674119983652886	5.337183323363551	0.2924619566426367	0.17513851984692066	0.18922361623369918	0.34317590727674346	0.003914974524229358	4.4895901151216673E-4	0.0011350236595253115	9.074456955437875E-4	0.4329605017973096	-7.995857589470416E-14	-57094.80716578293	0.0	-1109.428845520789
1000000	-58131.8361173038	-1085.2349171496173	-57046.60120015418	1.0206210107487184	2019.6433134154809	54.35408432248157	10.872860174819479	10.276207801689708	0.41782063261797897	4.665482611307281	0.2908079391579302	0.1791180614264756	0.19004409605857828	0.34002990335701616	0.01851353245596737	4.391831323775794E-4	0.001292034363089002	9.708979510072492E-4	0.4923812703520187	1.7033487696833043E-14	-57046.60120015418	0.0	-1079.1725749959996
1100000	-58094.2391318144	-1040.800585967845	-57053.438545846555	0.8850977710917821	2019.7788366551379	52.69705930363436	13.326899206386605	9.936896910997346	0.35680973382675657	4.643638126625522	0.29457830671164575	0.17762410784214636	0.18744375065928123	0.34035383478692705	0.009647597511635367	5.05417536063901E-4	0.0013159219288934143	0.001033241186411404	0.44482316989783016	2.0932096865580708E-14	-57053.438545846555	0.0	-1034.5319720267682
1200000	-58058.149448505246	-1056.6130210083636	-57001.53642749688	0.8151879598745142	2019.8487464663551	54.20305577398249	10.94261701320443	13.371709607735408	0.4210322270627406	4.490519847557102	0.29143537315117113	0.17765075855007642	0.19429379048055034	0.33662007781820275	0.0267748899139454	4.5472335153089524E-4	0.0012807948574959053	9.940430182714185E-4	0.4757550361864751	-7.577522955082473E-14	-57001.53642749688	0.0	-1050.5221296067018
1300000	-57991.967796479265	-1057.4515487358233	-56934.51624774344	0.7697622346862638	2019.8941721915432	53.58814042879854	14.413211956342039	11.29533727453429	0.3695358402863445	4.716528812466187	0.2915855138798167	0.18176183535698448	0.18907461100592748	0.33757803975727196	0.03881956211750979	4.586454249193305E-4	0.001277636829167342	9.806359908355409E-4	0.47147407711381417	2.4775164920790592E-14	-56934.51624774344	0.0	-1051.027740405195
1400000	-57939.05617343098	-1084.0368920145618	-56855.01928141642	0.8318234744885168	2019.832110951741	56.07215424438211	18.76015898154567	10.27102781007718	0.329847832048058	4.421963225244991	0.2883257717950085	0.18509696195129346	0.18851448656170916	0.3380627796919896	0.012334493492431287	5.292428730956825E-4	0.0011941546613054683	9.66909921962498E-4	0.3857047601191995	-8.123765034673727E-14	-56855.01928141642	0.0	-1077.4974634236298
1500000	-57919.57774343762	-1083.5259508617419	-56836.05179257588	0.8997402321112585	2019.7641941941183	54.811295733783794	13.408823419393103	11.435410199522744	0.4033493198786307	4.68506217812072	0.29184090350136893	0.1798075301670288	0.18743040257863122	0.340921163752972	0.03027567185403424	4.986080871637788E-4	0.00121436297096907	9.668529299344144E-4	0.4176974005588124	-6.419324525241168E-14	-56836.05179257588	0.0	-1077.1464194127088
1600000	-57876.02964415205	-1069.7274844299445	-56806.3021597221	0.9795176782017742	2019.6844167480278	53.71842816605603	12.788842474054666	9.383650530561143	0.367311904005136	4.978078830215556	0.29706783808632836	0.18089900313897905	0.18782577385445112	0.3342073849202422	0.04626733981982423	4.157247554920501E-4	0.001262448800033935	9.494988759839852E-4	0.5042827609730558	-4.4549568821986146E-14	-56806.3021597221	0.0	-1063.4680730522844
1700000	-57903.398322510315	-1081.3853486905361	-56822.01297381978	0.8127015694224046	2019.8512328568072	54.94618153077015	12.496781796454846	11.452541314323282	0.4031889549798015	4.663621653472627	0.29070379596595286	0.18359445230343216	0.19378136935719856	0.331920382373417	0.005664920679412478	5.155810418987196E-4	0.0011887970650123361	9.588067020059146E-4	0.394872267267838	-4.3607763744832895E-14	-56822.01297381978	0.0	-1075.1559701341473
