# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Sun Apr 18 11:56:58 BST 2021 [seed=1618743413876]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/novLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-103602.55304201544	-797.9559596399262	-102804.59708237552	2.0597095567677406	2018.852858749243	41.7617120699321	1.0	1.0	1.0	2.0	0.2500000001	0.2499999999	0.2500000001	0.2499999999	0.5	0.001	0.001	0.0010000000000000005	2.6247636744517978E-14	0.9992412746585735	-102804.59708237552	0.0	-793.0264984444358
100000	-79874.04424003755	-1964.803593877667	-77909.24064615987	1.5110568579537067	2019.4015114480571	109.18111921946415	27.38843348437036	5.696891594901019	0.48883079297916554	4.617505866781257	0.2818848591985112	0.17202755060375824	0.18258623387852999	0.363501356319201	0.007832162408526255	4.423760799531386E-4	0.001992178504225505	0.0014151242041024403	0.6362125088032459	-3.745324329471644E-14	-77909.24064615987	0.0	-1957.6203425287777
200000	-76403.86982565153	-2077.755065465383	-74326.11476018614	1.1548750122948293	2019.757693293716	125.43281935122822	32.57626036298838	10.345389897009959	0.6016617846745116	4.802530106972287	0.2780554951590422	0.17257764921768856	0.18419763221711527	0.3651692234061545	0.012401158876861697	4.04695062244095E-4	0.0012413250678488456	9.957009699124886E-4	0.5080752465575651	-7.43491736150945E-14	-74326.11476018614	0.0	-2070.4572401220767
300000	-74261.2887558416	-2150.2306205447567	-72111.05813529684	1.2711189370313098	2019.6414493689795	132.42729944410306	50.288073066338995	8.326311516862928	0.5053983393708618	4.441946748093932	0.28276065821407165	0.17277348580150065	0.18659997053832025	0.35786588544610826	0.023822926889058776	3.7921494488370004E-4	0.0010654081883559833	8.607984090314204E-4	0.47483584381331767	1.7823951732581954E-14	-72111.05813529684	0.0	-2142.6599587474084
400000	-72462.69743879141	-2076.0019051083245	-70386.69553368309	1.1761054988923154	2019.7364628071184	124.36379893437078	35.166150736956624	10.802394240947091	0.6047359280421762	4.436384516430244	0.28064906001190193	0.1754717688604219	0.1893891865820548	0.3544899845456224	0.05216145022318658	4.5780969817932186E-4	0.0010523140679323166	8.723877324126441E-4	0.39359321721598217	-1.525373228453247E-14	-70386.69553368309	0.0	-2068.627376394613
500000	-71160.73920060253	-2049.435613995936	-69111.30358660659	1.1667196274310374	2019.7458486785797	120.51092747978711	30.42171009238916	11.719767879144527	0.6188063366236761	4.924883746573401	0.2807465077520259	0.17906415130073014	0.18458592078808972	0.35560342015915536	0.019414423381358622	4.2537467384292467E-4	9.997335005605442E-4	8.26485850802479E-4	0.40293446589614007	-7.943925268633642E-14	-69111.30358660659	0.0	-2042.2357352700856
600000	-70323.58310270181	-1977.177875686783	-68346.40522701503	1.07797354279048	2019.8345947632204	115.24765438232866	27.01075337589191	11.870371406722679	0.61937780548403	4.114065290829912	0.2825566911434934	0.17918250767567187	0.18703584651424304	0.35122495466659287	0.012570670447926985	4.30157765518874E-4	9.727105901088475E-4	8.108692599420906E-4	0.3866649147070478	-6.584797990929137E-14	-68346.40522701503	0.0	-1970.389684798592
700000	-69745.41115311257	-1981.4119803435972	-67763.99917276896	1.146219165390873	2019.76634914062	114.64759258686549	25.122369663432668	11.938533758906615	0.6391998750060234	4.334285518826548	0.2873693597919381	0.17715806215582072	0.1850066448237054	0.3504659332285369	0.05235351141942418	3.976791406652311E-4	9.538465432713076E-4	7.869572457805326E-4	0.41140976743039054	2.6358682783144672E-14	-67763.99917276896	0.0	-1974.609185183164
800000	-69403.8557931471	-1955.2945404766886	-67448.5612526704	1.172853530916671	2019.7397147750942	111.54149828668433	20.82876229587895	12.4706667194716	0.6554356849467468	4.8558967946658695	0.2836071308175914	0.1779352828594425	0.18625841342574306	0.35219917289722447	0.034998906703770684	4.2240877352924433E-4	0.0010172664311930194	8.296402934374284E-4	0.41308630665723556	-8.01585261396927E-14	-67448.5612526704	0.0	-1948.5361369416557
900000	-69159.46834761118	-1947.1823110948858	-67212.28603651629	1.279541922690149	2019.6330263833206	107.05081504951063	24.55588108829012	8.645055347181692	0.5859748214747409	4.641999914016789	0.28658053387116367	0.17520368048250712	0.1888470707300292	0.3493687149163009	0.021718082974217196	3.8159999998025603E-4	0.001007287272804001	8.039910718721158E-4	0.4503581821210824	-6.482366802125455E-14	-67212.28603651629	0.0	-1940.4365636792772
